1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
7671,366,1920,12,31,5,6,36,28,9,1,46,j,24,17,f,29,16,i,0,22,0,k,0,25,52,k,0,18,53,f,0,24,47,f,0,2,46,l,0,13,14,e,1,7,50,d,1,4,10,h,1,3,3,h,1,18,41,j,0,6,3,a,0
7672,1,1921,1,1,6,6,40,24,10,2,55,j,7,44,g,0,49,j,0,23,11,k,0,26,39,k,0,18,54,f,0,24,47,f,0,2,48,l,0,13,13,e,1,7,49,d,1,4,9,h,0,3,0,h,1,18,48,j,0,6,4,a,0
7673,2,1921,1,2,7,6,44,21,11,4,5,j,20,45,g,2,22,j,0,24,21,k,0,27,25,k,0,18,55,f,0,24,48,f,0,2,51,l,0,13,11,e,1,7,48,d,1,4,9,h,0,2,57,h,1,18,55,j,0,6,5,a,0
7674,3,1921,1,3,1,6,48,17,12,5,15,j,3,26,h,3,56,j,0,25,31,k,0,28,12,k,0,18,55,f,0,24,48,f,0,2,53,l,0,13,10,e,1,7,47,d,1,4,10,h,1,2,54,h,1,19,2,j,0,6,6,a,0
7675,4,1921,1,4,2,6,52,14,13,6,25,j,15,49,h,5,30,j,0,26,41,k,0,28,59,k,0,18,55,f,1,24,48,f,1,2,56,l,0,13,8,e,1,7,46,d,1,4,9,h,1,2,51,h,1,19,8,j,0,6,6,a,0
7676,5,1921,1,5,3,6,56,11,14,7,35,j,28,0,h,7,4,j,0,27,51,k,0,29,45,k,0,18,55,f,1,24,48,f,1,2,58,l,0,13,7,e,1,7,44,d,1,4,6,h,1,2,47,h,1,19,15,j,0,6,7,a,0
7677,6,1921,1,6,4,7,0,7,15,8,46,j,10,3,i,8,39,j,0,29,0,k,0,0,32,l,0,18,54,f,1,24,48,f,1,3,1,l,0,13,6,e,1,7,43,d,1,4,1,h,1,2,44,h,1,19,22,j,0,6,8,a,0
7678,7,1921,1,7,5,7,4,4,16,9,57,j,21,59,i,10,14,j,0,0,10,l,0,1,18,l,0,18,54,f,1,24,48,f,1,3,3,l,0,13,4,e,1,7,42,d,1,3,52,h,1,2,41,h,1,19,28,j,0,6,10,a,0
7679,8,1921,1,8,6,7,8,0,17,11,7,j,3,53,j,11,49,j,0,1,19,l,0,2,5,l,0,18,53,f,1,24,47,f,1,3,6,l,0,13,3,e,1,7,41,d,1,3,41,h,1,2,38,h,1,19,35,j,0,6,11,a,0
7680,9,1921,1,9,7,7,11,57,18,12,17,j,15,45,j,13,25,j,0,2,29,l,0,2,51,l,0,18,52,f,1,24,47,f,1,3,9,l,0,13,1,e,1,7,39,d,1,3,27,h,1,2,35,h,1,19,42,j,0,6,12,a,0
