1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
71224,365,2094,12,31,5,6,39,49,9,47,32,j,22,24,g,29,3,j,0,2,4,k,0,29,46,g,0,0,12,b,0,20,51,e,1,28,6,l,0,6,12,f,1,27,29,a,1,28,19,c,0,27,41,c,1,18,44,f,0,12,13,f,1
71225,1,2095,1,1,6,6,43,46,10,48,41,j,4,38,h,29,40,j,0,3,19,k,0,0,19,h,0,0,13,b,0,20,47,e,1,28,7,l,0,6,11,f,1,27,29,a,1,28,20,c,0,27,38,c,1,18,50,f,0,12,12,f,1
71226,2,2095,1,2,7,6,47,42,11,49,51,j,17,7,h,0,7,k,0,4,33,k,0,0,53,h,0,0,15,b,0,20,44,e,1,28,8,l,0,6,10,f,1,27,28,a,1,28,21,c,0,27,34,c,1,18,57,f,0,12,11,f,1
71227,3,2095,1,3,1,6,51,39,12,51,1,j,29,57,h,0,25,k,0,5,48,k,0,1,26,h,0,0,17,b,0,20,41,e,1,28,10,l,0,6,9,f,1,27,28,a,1,28,22,c,0,27,31,c,1,19,4,f,0,12,10,f,1
71228,4,2095,1,4,2,6,55,36,13,52,11,j,13,8,i,0,33,k,1,7,3,k,0,2,0,h,0,0,19,b,0,20,38,e,1,28,11,l,0,6,9,f,1,27,28,a,1,28,23,c,0,27,28,c,1,19,11,f,0,12,9,f,1
71229,5,2095,1,5,3,6,59,32,14,53,21,j,26,43,i,0,29,k,1,8,18,k,0,2,33,h,0,0,21,b,0,20,34,e,1,28,13,l,0,6,8,f,1,27,28,a,1,28,24,c,1,27,25,c,1,19,17,f,0,12,8,f,1
71230,6,2095,1,6,4,7,3,29,15,54,32,j,10,39,j,0,13,k,1,9,33,k,0,3,6,h,0,0,23,b,0,20,31,e,1,28,14,l,0,6,7,f,1,27,28,a,1,28,23,c,1,27,22,c,1,19,24,f,0,12,7,f,1
71231,7,2095,1,7,5,7,7,25,16,55,42,j,24,55,j,29,46,j,1,10,48,k,0,3,39,h,0,0,26,b,0,20,27,e,1,28,16,l,0,6,6,f,1,27,28,a,1,28,22,c,1,27,18,c,1,19,31,f,0,12,6,f,1
71232,8,2095,1,8,6,7,11,22,17,56,53,j,9,24,k,29,7,j,1,12,2,k,0,4,13,h,0,0,29,b,0,20,23,e,1,28,17,l,0,6,5,f,1,27,28,a,1,28,20,c,1,27,15,c,1,19,37,f,0,12,4,f,1
71233,9,2095,1,9,7,7,15,18,18,58,3,j,24,1,k,28,17,j,1,13,17,k,0,4,45,h,0,0,32,b,0,20,20,e,1,28,19,l,0,6,4,f,1,27,28,a,1,28,17,c,1,27,12,c,1,19,44,f,0,12,3,f,1
