1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
65015,365,2077,12,31,5,6,40,17,9,55,47,j,29,18,d,21,28,i,0,26,40,i,1,19,44,g,0,4,37,i,0,13,11,j,0,22,38,j,0,27,53,d,1,10,3,a,0,27,57,b,1,26,28,b,1,17,11,g,0,29,2,a,1
65016,1,2078,1,1,6,6,44,14,10,56,54,j,12,25,e,22,53,i,0,26,13,i,1,20,14,g,0,4,49,i,0,13,18,j,0,22,42,j,0,27,52,d,1,10,3,a,0,27,50,b,1,26,25,b,1,17,17,g,0,29,2,a,1
65017,2,2078,1,2,7,6,48,10,11,58,2,j,25,12,e,24,19,i,0,25,48,i,1,20,44,g,0,5,1,i,0,13,25,j,0,22,45,j,0,27,50,d,1,10,3,a,0,27,42,b,1,26,22,b,1,17,24,g,0,29,1,a,1
65018,3,2078,1,3,1,6,52,7,12,59,11,j,7,41,f,25,45,i,0,25,25,i,1,21,14,g,0,5,13,i,0,13,32,j,0,22,49,j,0,27,49,d,1,10,3,a,0,27,35,b,1,26,19,b,1,17,31,g,0,29,1,a,1
65019,4,2078,1,4,2,6,56,3,14,0,19,j,19,53,f,27,12,i,0,25,4,i,1,21,44,g,0,5,25,i,0,13,39,j,0,22,52,j,0,27,47,d,1,10,4,a,0,27,30,b,1,26,15,b,1,17,37,g,0,29,1,a,1
65020,5,2078,1,5,3,7,0,0,15,1,28,j,1,53,g,28,40,i,0,24,46,i,1,22,13,g,0,5,36,i,0,13,47,j,0,22,56,j,0,27,45,d,1,10,4,a,0,27,27,b,1,26,12,b,1,17,44,g,0,29,0,a,1
65021,6,2078,1,6,4,7,3,57,16,2,37,j,13,45,g,0,8,j,0,24,30,i,1,22,43,g,0,5,48,i,0,13,54,j,0,22,59,j,0,27,44,d,1,10,4,a,0,27,26,b,0,26,9,b,1,17,51,g,0,29,0,a,1
65022,7,2078,1,7,5,7,7,53,17,3,46,j,25,34,g,1,36,j,0,24,16,i,1,23,12,g,0,6,0,i,0,14,1,j,0,23,3,j,0,27,42,d,1,10,4,a,0,27,26,b,0,26,6,b,1,17,57,g,0,29,0,a,1
65023,8,2078,1,8,6,7,11,50,18,4,55,j,7,26,h,3,6,j,0,24,5,i,1,23,41,g,0,6,11,i,0,14,8,j,0,23,7,j,0,27,40,d,1,10,5,a,0,27,27,b,0,26,3,b,1,18,4,g,0,29,0,a,1
65024,9,2078,1,9,7,7,15,46,19,6,5,j,19,25,h,4,35,j,0,23,57,i,1,24,10,g,0,6,23,i,0,14,15,j,0,23,10,j,0,27,39,d,1,10,5,a,0,27,28,b,0,26,0,b,1,18,11,g,0,29,0,a,0
65025,10,2078,1,10,1,7,19,43,20,7,14,j,1,37,i,6,6,j,0,23,51,i,1,24,39,g,0,6,34,i,0,14,22,j,0,23,14,j,0,27,37,d,1,10,6,a,0,27,28,b,1,25,56,b,1,18,17,g,0,29,0,a,0
65026,11,2078,1,11,2,7,23,39,21,8,24,j,14,6,i,7,37,j,0,23,47,i,1,25,7,g,0,6,45,i,0,14,29,j,0,23,17,j,0,27,35,d,1,10,6,a,0,27,27,b,1,25,53,b,1,18,24,g,0,29,0,a,0
65027,12,2078,1,12,3,7,27,36,22,9,33,j,26,54,i,9,8,j,0,23,46,i,0,25,36,g,0,6,57,i,0,14,36,j,0,23,21,j,0,27,34,d,1,10,6,a,0,27,23,b,1,25,50,b,1,18,31,g,0,29,0,a,0
65028,13,2078,1,13,4,7,31,32,23,10,43,j,10,3,j,10,39,j,0,23,47,i,0,26,4,g,0,7,8,i,0,14,43,j,0,23,24,j,0,27,32,d,1,10,7,a,0,27,17,b,1,25,47,b,1,18,37,g,0,29,1,a,0
