1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
21550,365,1958,12,31,3,6,35,39,8,48,1,j,7,31,f,16,30,i,0,20,47,j,0,17,18,b,0,23,47,h,0,29,21,i,0,15,42,e,1,6,33,h,0,4,5,f,1,18,23,g,1,18,7,g,1,4,51,b,0,19,43,k,0
21551,1,1959,1,1,4,6,39,36,9,49,9,j,21,11,f,17,37,i,0,22,2,j,0,17,26,b,0,23,58,h,0,29,28,i,0,15,40,e,1,6,34,h,0,4,4,f,1,18,20,g,1,18,3,g,1,4,58,b,0,19,46,k,0
21552,2,1959,1,2,5,6,43,33,10,50,19,j,5,0,g,18,45,i,0,23,18,j,0,17,35,b,0,24,9,h,0,29,35,i,0,15,38,e,1,6,35,h,0,4,3,f,1,18,19,g,1,18,0,g,1,5,5,b,0,19,50,k,0
21553,3,1959,1,3,6,6,47,29,11,51,28,j,18,59,g,19,57,i,0,24,33,j,0,17,44,b,0,24,20,h,0,29,42,i,0,15,36,e,1,6,36,h,0,4,3,f,1,18,19,g,1,17,57,g,1,5,11,b,0,19,53,k,0
21554,4,1959,1,4,7,6,51,26,12,52,38,j,3,8,h,21,10,i,0,25,48,j,0,17,54,b,0,24,31,h,0,29,49,i,0,15,34,e,1,6,37,h,0,4,2,f,1,18,18,g,1,17,54,g,1,5,18,b,0,19,57,k,0
21555,5,1959,1,5,1,6,55,22,13,53,48,j,17,26,h,22,25,i,0,27,3,j,0,18,5,b,0,24,42,h,0,29,56,i,0,15,32,e,1,6,38,h,0,4,1,f,1,18,16,g,1,17,51,g,1,5,25,b,0,20,1,k,0
21556,6,1959,1,6,2,6,59,19,14,54,58,j,1,51,i,23,42,i,0,28,19,j,0,18,16,b,0,24,52,h,0,0,3,j,0,15,30,e,1,6,40,h,0,4,0,f,1,18,11,g,1,17,47,g,1,5,31,b,0,20,5,k,0
21557,7,1959,1,7,3,7,3,15,15,56,9,j,16,18,i,25,0,i,0,29,34,j,0,18,28,b,0,25,3,h,0,0,10,j,0,15,28,e,1,6,41,h,0,3,59,f,1,18,3,g,1,17,44,g,1,5,38,b,0,20,8,k,0
21558,8,1959,1,8,4,7,7,12,16,57,20,j,0,42,j,26,20,i,0,0,49,k,0,18,41,b,0,25,13,h,0,0,17,j,0,15,26,e,1,6,42,h,0,3,58,f,1,17,52,g,1,17,41,g,1,5,44,b,0,20,12,k,0
21559,9,1959,1,9,5,7,11,8,17,58,30,j,14,57,j,27,40,i,0,2,5,k,0,18,54,b,0,25,24,h,0,0,24,j,0,15,24,e,1,6,43,h,0,3,57,f,1,17,40,g,1,17,38,g,1,5,51,b,0,20,16,k,0
