1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
24472,365,1966,12,31,6,6,35,53,8,51,2,j,21,20,e,28,24,i,0,21,27,j,0,13,39,g,0,2,2,e,1,23,57,l,0,24,26,f,1,23,30,h,0,20,38,f,1,14,38,b,1,13,22,b,1,0,33,a,0,22,1,l,0
24473,1,1967,1,1,7,6,39,50,9,52,10,j,5,38,f,29,57,i,0,22,42,j,0,14,7,g,0,1,55,e,1,24,1,l,0,24,25,f,1,23,32,h,0,20,38,f,1,14,32,b,1,13,19,b,1,0,40,a,0,22,3,l,0
24474,2,1967,1,2,1,6,43,46,10,53,19,j,19,54,f,1,29,j,0,23,57,j,0,14,35,g,0,1,48,e,1,24,4,l,0,24,25,f,1,23,34,h,0,20,37,f,1,14,27,b,1,13,16,b,1,0,46,a,0,22,5,l,0
24475,3,1967,1,3,2,6,47,43,11,54,28,j,4,6,g,3,3,j,0,25,13,j,0,15,3,g,0,1,41,e,1,24,8,l,0,24,25,f,1,23,35,h,0,20,37,f,1,14,25,b,1,13,13,b,1,0,53,a,0,22,6,l,0
24476,4,1967,1,4,3,6,51,39,12,55,37,j,18,11,g,4,36,j,0,26,28,j,0,15,30,g,0,1,34,e,1,24,12,l,0,24,25,f,1,23,37,h,0,20,37,f,1,14,25,b,0,13,10,b,1,1,0,a,0,22,8,l,0
24477,5,1967,1,5,4,6,55,36,13,56,47,j,2,10,h,6,10,j,0,27,43,j,0,15,58,g,0,1,27,e,1,24,16,l,0,24,25,f,1,23,39,h,0,20,36,f,1,14,26,b,0,13,6,b,1,1,6,a,0,22,10,l,0
24478,6,1967,1,6,5,6,59,33,14,57,57,j,16,1,h,7,44,j,0,28,59,j,0,16,25,g,0,1,19,e,1,24,20,l,0,24,24,f,1,23,40,h,0,20,36,f,1,14,26,b,1,13,3,b,1,1,13,a,0,22,11,l,0
24479,7,1967,1,7,6,7,3,29,15,59,7,j,29,44,h,9,19,j,0,0,14,k,0,16,52,g,0,1,12,e,1,24,24,l,0,24,24,f,1,23,42,h,0,20,35,f,1,14,25,b,1,13,0,b,1,1,20,a,0,22,13,l,0
24480,8,1967,1,8,7,7,7,26,17,0,17,j,13,19,i,10,54,j,0,1,29,k,0,17,19,g,0,1,4,e,1,24,28,l,0,24,23,f,1,23,43,h,0,20,35,f,1,14,22,b,1,12,57,b,1,1,26,a,0,22,15,l,0
24481,9,1967,1,9,1,7,11,22,18,1,28,j,26,44,i,12,29,j,0,2,44,k,0,17,45,g,0,0,56,e,1,24,33,l,0,24,23,f,1,23,45,h,0,20,35,f,1,14,15,b,1,12,54,b,1,1,33,a,0,22,17,l,0
