1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
11323,365,1930,12,31,3,6,34,47,8,35,31,j,10,35,b,21,24,j,1,27,37,h,0,15,46,e,1,16,22,d,1,13,35,j,0,11,29,a,0,5,39,f,1,20,2,d,1,20,21,a,1,19,40,a,1,5,42,l,0,14,18,b,1
11324,1,1931,1,1,4,6,38,44,9,36,39,j,23,35,b,20,43,j,1,28,13,h,0,15,35,e,1,16,14,d,1,13,42,j,0,11,29,a,0,5,38,f,1,20,1,d,1,20,17,a,1,19,37,a,1,5,49,l,0,14,16,b,1
11325,2,1931,1,2,5,6,42,40,10,37,48,j,7,1,c,19,50,j,1,28,49,h,0,15,24,e,1,16,6,d,1,13,50,j,0,11,30,a,0,5,37,f,1,19,59,d,1,20,11,a,1,19,34,a,1,5,56,l,0,14,15,b,1
11326,3,1931,1,3,6,6,46,37,11,38,56,j,20,54,c,18,48,j,1,29,27,h,0,15,12,e,1,15,58,d,1,13,57,j,0,11,31,a,0,5,37,f,1,19,58,d,1,20,1,a,1,19,30,a,1,6,2,l,0,14,14,b,1
11327,4,1931,1,4,7,6,50,33,12,40,5,j,5,12,d,17,38,j,1,0,7,i,0,14,59,e,1,15,50,d,1,14,4,j,0,11,31,a,0,5,36,f,1,19,57,d,1,19,50,a,1,19,27,a,1,6,9,l,0,14,12,b,1
11328,5,1931,1,5,1,6,54,30,13,41,13,j,19,49,d,16,22,j,1,0,47,i,0,14,45,e,1,15,42,d,1,14,11,j,0,11,32,a,0,5,35,f,1,19,56,d,1,19,38,a,1,19,24,a,1,6,16,l,0,14,11,b,1
11329,6,1931,1,6,2,6,58,26,14,42,21,j,4,37,e,15,2,j,1,1,29,i,0,14,31,e,1,15,34,d,1,14,18,j,0,11,33,a,0,5,34,f,1,19,54,d,1,19,26,a,1,19,21,a,1,6,22,l,0,14,10,b,1
11330,7,1931,1,7,3,7,2,23,15,43,30,j,19,28,e,13,41,j,1,2,11,i,0,14,15,e,1,15,26,d,1,14,25,j,0,11,34,a,0,5,33,f,1,19,53,d,1,19,16,a,1,19,18,a,1,6,29,l,0,14,9,b,1
11331,8,1931,1,8,4,7,6,20,16,44,38,j,4,14,f,12,22,j,1,2,55,i,0,13,59,e,1,15,18,d,1,14,32,j,0,11,35,a,0,5,32,f,1,19,52,d,1,19,8,a,1,19,14,a,1,6,36,l,0,14,8,b,1
11332,9,1931,1,9,5,7,10,16,17,45,46,j,18,47,f,11,7,j,1,3,40,i,0,13,43,e,1,15,10,d,1,14,39,j,0,11,35,a,0,5,31,f,1,19,51,d,1,19,4,a,1,19,11,a,1,6,42,l,0,14,7,b,1
