1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
64650,366,2076,12,31,4,6,41,14,10,10,51,j,17,25,l,18,16,i,0,23,48,i,0,11,38,k,0,9,40,h,0,3,12,j,0,18,43,j,0,25,36,d,1,8,59,a,0,16,56,c,1,15,48,c,1,6,22,f,0,25,18,a,1
64651,1,2077,1,1,5,6,45,11,11,12,1,j,1,42,a,18,56,i,0,25,4,i,0,12,25,k,0,9,49,h,0,3,19,j,0,18,47,j,0,25,35,d,1,8,59,a,0,16,54,c,1,15,45,c,1,6,28,f,0,25,18,a,1
64652,2,2077,1,2,6,6,49,7,12,13,10,j,15,44,a,19,42,i,0,26,19,i,0,13,12,k,0,9,58,h,0,3,26,j,0,18,51,j,0,25,33,d,1,8,59,a,0,16,54,c,0,15,41,c,1,6,35,f,0,25,18,a,1
64653,3,2077,1,3,7,6,53,4,13,14,18,j,29,30,a,20,33,i,0,27,34,i,0,13,59,k,0,10,7,h,0,3,33,j,0,18,54,j,0,25,31,d,1,9,0,a,0,16,55,c,0,15,38,c,1,6,42,f,0,25,17,a,1
64654,4,2077,1,4,1,6,57,1,14,15,27,j,13,0,b,21,28,i,0,28,50,i,0,14,46,k,0,10,16,h,0,3,40,j,0,18,58,j,0,25,30,d,1,9,0,a,0,16,56,c,0,15,35,c,1,6,49,f,0,25,17,a,1
64655,5,2077,1,5,2,7,0,57,15,16,35,j,26,15,b,22,26,i,0,0,5,j,0,15,34,k,0,10,24,h,0,3,47,j,0,19,1,j,0,25,28,d,1,9,0,a,0,16,58,c,0,15,32,c,1,6,55,f,0,25,17,a,0
64656,6,2077,1,6,3,7,4,54,16,17,44,j,9,16,c,23,28,i,0,1,20,j,0,16,21,k,0,10,33,h,0,3,54,j,0,19,5,j,0,25,26,d,1,9,0,a,0,16,59,c,0,15,29,c,1,7,2,f,0,25,17,a,0
64657,7,2077,1,7,4,7,8,50,17,18,52,j,22,5,c,24,33,i,0,2,36,j,0,17,8,k,0,10,41,h,0,4,1,j,0,19,8,j,0,25,25,d,1,9,1,a,0,16,59,c,1,15,26,c,1,7,9,f,0,25,17,a,0
64658,8,2077,1,8,5,7,12,47,18,19,59,j,4,43,d,25,40,i,0,3,51,j,0,17,55,k,0,10,50,h,0,4,8,j,0,19,12,j,0,25,23,d,1,9,1,a,0,16,58,c,1,15,22,c,1,7,16,f,0,25,18,a,0
64659,9,2077,1,9,6,7,16,43,19,21,7,j,17,10,d,26,50,i,0,5,6,j,0,18,43,k,0,10,58,h,0,4,15,j,0,19,16,j,0,25,21,d,1,9,2,a,0,16,55,c,1,15,19,c,1,7,22,f,0,25,18,a,0
