1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
43100,365,2017,12,31,7,6,38,27,9,29,21,j,9,38,c,17,2,i,0,7,16,j,0,13,33,h,0,16,46,h,0,1,16,j,0,24,34,a,1,11,53,l,0,18,45,j,0,15,27,e,1,16,57,e,1,5,47,j,0,24,37,l,0
43101,1,2018,1,1,1,6,42,23,10,30,29,j,24,48,c,17,57,i,0,8,31,j,0,14,10,h,0,16,56,h,0,1,23,j,0,24,34,a,1,11,54,l,0,18,47,j,0,15,21,e,1,16,54,e,1,5,53,j,0,24,39,l,0
43102,2,2018,1,2,2,6,46,20,11,31,36,j,10,6,d,18,56,i,0,9,47,j,0,14,47,h,0,17,6,h,0,1,30,j,0,24,34,a,1,11,56,l,0,18,49,j,0,15,17,e,1,16,51,e,1,6,0,j,0,24,40,l,0
43103,3,2018,1,3,3,6,50,16,12,32,44,j,25,21,d,19,59,i,0,11,2,j,0,15,25,h,0,17,16,h,0,1,37,j,0,24,34,a,0,11,57,l,0,18,51,j,0,15,14,e,1,16,47,e,1,6,7,j,0,24,42,l,0
43104,4,2018,1,4,4,6,54,13,13,33,52,j,10,23,e,21,5,i,0,12,18,j,0,16,2,h,0,17,26,h,0,1,44,j,0,24,34,a,0,11,58,l,0,18,53,j,0,15,12,e,0,16,44,e,1,6,13,j,0,24,43,l,0
43105,5,2018,1,5,5,6,58,9,14,35,0,j,25,5,e,22,13,i,0,13,33,j,0,16,40,h,0,17,36,h,0,1,51,j,0,24,34,a,0,12,0,l,0,18,55,j,0,15,13,e,0,16,41,e,1,6,20,j,0,24,45,l,0
43106,6,2018,1,6,6,7,2,6,15,36,8,j,9,20,f,23,23,i,0,14,49,j,0,17,17,h,0,17,46,h,0,1,58,j,0,24,35,a,0,12,1,l,0,18,57,j,0,15,14,e,0,16,38,e,1,6,27,j,0,24,46,l,0
43107,7,2018,1,7,7,7,6,2,16,37,17,j,23,8,f,24,36,i,0,16,4,j,0,17,54,h,0,17,55,h,0,2,5,j,0,24,35,a,0,12,3,l,0,18,59,j,0,15,15,e,0,16,35,e,1,6,33,j,0,24,48,l,0
43108,8,2018,1,8,1,7,9,59,17,38,25,j,6,29,g,25,50,i,0,17,20,j,0,18,32,h,0,18,5,h,0,2,12,j,0,24,35,a,0,12,4,l,0,19,1,j,0,15,17,e,0,16,32,e,1,6,40,j,0,24,50,l,0
43109,9,2018,1,9,2,7,13,56,18,39,34,j,19,26,g,27,6,i,0,18,35,j,0,19,9,h,0,18,14,h,0,2,19,j,0,24,35,a,0,12,6,l,0,19,3,j,0,15,17,e,1,16,28,e,1,6,47,j,0,24,52,l,0
43110,10,2018,1,10,3,7,17,52,19,40,42,j,2,2,h,28,24,i,0,19,51,j,0,19,46,h,0,18,23,h,0,2,26,j,0,24,36,a,0,12,7,l,0,19,5,j,0,15,17,e,1,16,25,e,1,6,53,j,0,24,54,l,0
43111,11,2018,1,11,4,7,21,49,20,41,51,j,14,21,h,29,43,i,0,21,6,j,0,20,24,h,0,18,32,h,0,2,33,j,0,24,36,a,0,12,9,l,0,19,7,j,0,15,15,e,1,16,22,e,1,7,0,j,0,24,55,l,0
43112,12,2018,1,12,5,7,25,45,21,42,59,j,26,28,h,1,3,j,0,22,22,j,0,21,1,h,0,18,41,h,0,2,40,j,0,24,36,a,0,12,10,l,0,19,9,j,0,15,12,e,1,16,19,e,1,7,7,j,0,24,57,l,0
