1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
59171,365,2061,12,31,6,6,39,48,9,48,36,j,8,45,f,29,22,j,0,4,17,j,1,17,55,k,0,6,55,e,1,27,9,c,1,16,22,h,0,21,11,c,1,22,14,l,0,5,38,a,1,5,56,a,1,25,59,i,0,0,35,l,0
59172,1,2062,1,1,7,6,43,45,10,49,45,j,22,16,f,0,10,k,0,3,42,j,1,18,42,k,0,6,49,e,1,27,4,c,1,16,25,h,0,21,10,c,1,22,15,l,0,5,36,a,1,5,53,a,1,26,6,i,0,0,38,l,0
59173,2,2062,1,2,1,6,47,42,11,50,53,j,5,20,g,0,52,k,0,3,9,j,1,19,29,k,0,6,42,e,1,26,59,c,1,16,27,h,0,21,8,c,1,22,15,l,0,5,36,a,1,5,50,a,1,26,13,i,0,0,41,l,0
59174,3,2062,1,3,2,6,51,38,12,52,2,j,17,59,g,1,25,k,0,2,37,j,1,20,16,k,0,6,35,e,1,26,54,c,1,16,30,h,0,21,7,c,1,22,16,l,0,5,36,a,1,5,46,a,1,26,19,i,0,0,44,l,0
59175,4,2062,1,4,3,6,55,35,13,53,11,j,0,19,h,1,48,k,0,2,6,j,1,21,3,k,0,6,29,e,1,26,50,c,1,16,32,h,0,21,5,c,1,22,17,l,0,5,35,a,1,5,43,a,1,26,26,i,0,0,47,l,0
59176,5,2062,1,5,4,6,59,31,14,54,21,j,12,26,h,2,2,k,0,1,37,j,1,21,50,k,0,6,22,e,1,26,45,c,1,16,35,h,0,21,3,c,1,22,17,l,0,5,32,a,1,5,40,a,1,26,33,i,0,0,50,l,0
59177,6,2062,1,6,5,7,3,28,15,55,31,j,24,23,h,2,5,k,1,1,10,j,1,22,38,k,0,6,14,e,1,26,41,c,1,16,37,h,0,21,2,c,1,22,18,l,0,5,26,a,1,5,37,a,1,26,40,i,0,0,53,l,0
59178,7,2062,1,7,6,7,7,24,16,56,41,j,6,15,i,1,56,k,1,0,45,j,1,23,25,k,0,6,7,e,1,26,36,c,1,16,39,h,0,21,0,c,1,22,19,l,0,5,18,a,1,5,34,a,1,26,46,i,0,0,56,l,0
59179,8,2062,1,8,7,7,11,21,17,57,51,j,18,6,i,1,36,k,1,0,22,j,1,24,12,k,0,6,0,e,1,26,32,c,1,16,42,h,0,20,59,c,1,22,20,l,0,5,6,a,1,5,31,a,1,26,53,i,0,0,59,l,0
59180,9,2062,1,9,1,7,15,17,18,59,1,j,29,57,i,1,4,k,1,0,2,j,1,24,59,k,0,5,53,e,1,26,27,c,1,16,44,h,0,20,57,c,1,22,21,l,0,4,53,a,1,5,27,a,1,27,0,i,0,1,3,l,0
59181,10,2062,1,10,2,7,19,14,20,0,11,j,11,51,j,0,20,k,1,29,43,i,1,25,46,k,0,5,45,e,1,26,23,c,1,16,46,h,0,20,56,c,1,22,21,l,0,4,38,a,1,5,24,a,1,27,6,i,0,1,6,l,0
59182,11,2062,1,11,3,7,23,11,21,1,21,j,23,49,j,29,26,j,1,29,27,i,1,26,33,k,0,5,38,e,1,26,19,c,1,16,48,h,0,20,55,c,1,22,22,l,0,4,24,a,1,5,21,a,1,27,13,i,0,1,9,l,0
59183,12,2062,1,12,4,7,27,7,22,2,30,j,5,53,k,28,22,j,1,29,14,i,1,27,20,k,0,5,30,e,1,26,15,c,1,16,50,h,0,20,53,c,1,22,23,l,0,4,11,a,1,5,18,a,1,27,20,i,0,1,13,l,0
59184,13,2062,1,13,5,7,31,4,23,3,39,j,18,2,k,27,11,j,1,29,3,i,1,28,7,k,0,5,22,e,1,26,10,c,1,16,52,h,0,20,52,c,1,22,24,l,0,4,0,a,1,5,15,a,1,27,27,i,0,1,16,l,0
59185,14,2062,1,14,6,7,35,0,24,4,48,j,0,20,l,25,55,j,1,28,54,i,1,28,55,k,0,5,15,e,1,26,6,c,1,16,54,h,0,20,50,c,1,22,25,l,0,3,52,a,1,5,12,a,1,27,33,i,0,1,19,l,0
59186,15,2062,1,15,7,7,38,57,25,5,56,j,12,46,l,24,36,j,1,28,48,i,1,29,42,k,0,5,7,e,1,26,2,c,1,16,56,h,0,20,49,c,1,22,26,l,0,3,48,a,1,5,8,a,1,27,40,i,0,1,23,l,0
59187,16,2062,1,16,1,7,42,53,26,7,4,j,25,25,l,23,17,j,1,28,45,i,1,0,29,l,0,4,59,e,1,25,58,c,1,16,58,h,0,20,48,c,1,22,27,l,0,3,46,a,1,5,5,a,1,27,47,i,0,1,26,l,0
59188,17,2062,1,17,2,7,46,50,27,8,10,j,8,18,a,22,0,j,1,28,44,i,0,1,16,l,0,4,51,e,1,25,55,c,1,17,0,h,0,20,46,c,1,22,28,l,0,3,45,a,0,5,2,a,1,27,53,i,0,1,30,l,0
59189,18,2062,1,18,3,7,50,46,28,9,16,j,21,30,a,20,48,j,1,28,45,i,0,2,3,l,0,4,43,e,1,25,51,c,1,17,2,h,0,20,45,c,1,22,29,l,0,3,46,a,1,4,59,a,1,28,0,i,0,1,33,l,0
59190,19,2062,1,19,4,7,54,43,29,10,21,j,5,2,b,19,42,j,1,28,49,i,0,2,50,l,0,4,35,e,1,25,47,c,1,17,4,h,0,20,44,c,1,22,30,l,0,3,46,a,1,4,56,a,1,28,7,i,0,1,37,l,0
59191,20,2062,1,20,5,7,58,40,0,11,26,k,18,58,b,18,43,j,1,28,55,i,0,3,37,l,0,4,27,e,1,25,43,c,1,17,5,h,0,20,43,c,1,22,31,l,0,3,44,a,1,4,52,a,1,28,14,i,0,1,40,l,0
59192,21,2062,1,21,6,8,2,36,1,12,29,k,3,18,c,17,52,j,1,29,3,i,0,4,24,l,0,4,19,e,1,25,40,c,1,17,7,h,0,20,41,c,1,22,32,l,0,3,40,a,1,4,49,a,1,28,20,i,0,1,44,l,0
59193,22,2062,1,22,7,8,6,33,2,13,32,k,17,59,c,17,11,j,1,29,14,i,0,5,11,l,0,4,11,e,1,25,36,c,1,17,9,h,0,20,40,c,1,22,33,l,0,3,34,a,1,4,46,a,1,28,27,i,0,1,48,l,0
59194,23,2062,1,23,1,8,10,29,3,14,34,k,2,58,d,16,39,j,1,29,26,i,0,5,58,l,0,4,3,e,1,25,33,c,1,17,10,h,0,20,39,c,1,22,34,l,0,3,26,a,1,4,43,a,1,28,34,i,0,1,51,l,0
59195,24,2062,1,24,2,8,14,26,4,15,35,k,18,4,d,16,17,j,1,29,41,i,0,6,45,l,0,3,55,e,1,25,30,c,1,17,12,h,0,20,38,c,1,22,35,l,0,3,16,a,1,4,40,a,1,28,41,i,0,1,55,l,0
59196,25,2062,1,25,3,8,18,22,5,16,35,k,3,10,e,16,3,j,1,29,58,i,0,7,32,l,0,3,47,e,1,25,26,c,1,17,13,h,0,20,37,c,1,22,36,l,0,3,7,a,1,4,37,a,1,28,47,i,0,1,59,l,0
59197,26,2062,1,26,4,8,22,19,6,17,34,k,18,3,e,15,58,j,0,0,17,j,0,8,19,l,0,3,39,e,1,25,23,c,1,17,15,h,0,20,36,c,1,22,37,l,0,2,59,a,1,4,33,a,1,28,54,i,0,2,2,l,0
59198,27,2062,1,27,5,8,26,15,7,18,32,k,2,37,f,16,1,j,0,0,38,j,0,9,6,l,0,3,31,e,1,25,20,c,1,17,16,h,0,20,35,c,1,22,38,l,0,2,53,a,1,4,30,a,1,29,1,i,0,2,6,l,0
59199,28,2062,1,28,6,8,30,12,8,19,30,k,16,45,f,16,11,j,0,1,1,j,0,9,53,l,0,3,23,e,1,25,17,c,1,17,17,h,0,20,34,c,1,22,40,l,0,2,49,a,1,4,27,a,1,29,7,i,0,2,10,l,0
59200,29,2062,1,29,7,8,34,9,9,20,27,k,0,24,g,16,28,j,0,1,25,j,0,10,40,l,0,3,15,e,1,25,15,c,1,17,18,h,0,20,33,c,1,22,41,l,0,2,48,a,0,4,24,a,1,29,14,i,0,2,14,l,0
59201,30,2062,1,30,1,8,38,5,10,21,23,k,13,35,g,16,52,j,0,1,52,j,0,11,27,l,0,3,7,e,1,25,12,c,1,17,20,h,0,20,32,c,1,22,42,l,0,2,48,a,0,4,21,a,1,29,21,i,0,2,18,l,0
59202,31,2062,1,31,2,8,42,2,11,22,19,k,26,21,g,17,22,j,0,2,20,j,0,12,14,l,0,2,59,e,1,25,9,c,1,17,21,h,0,20,31,c,1,22,43,l,0,2,49,a,0,4,18,a,1,29,28,i,0,2,21,l,0
59203,32,2062,2,1,3,8,45,58,12,23,14,k,8,47,h,17,57,j,0,2,50,j,0,13,1,l,0,2,51,e,1,25,7,c,1,17,22,h,0,20,30,c,1,22,44,l,0,2,50,a,1,4,14,a,1,29,34,i,0,2,25,l,0
59204,33,2062,2,2,4,8,49,55,13,24,8,k,20,56,h,18,37,j,0,3,21,j,0,13,48,l,0,2,43,e,1,25,4,c,1,17,23,h,0,20,29,c,1,22,46,l,0,2,50,a,1,4,11,a,1,29,41,i,0,2,29,l,0
59205,34,2062,2,3,5,8,53,51,14,25,1,k,2,54,i,19,21,j,0,3,54,j,0,14,35,l,0,2,36,e,1,25,2,c,1,17,24,h,0,20,28,c,1,22,47,l,0,2,48,a,1,4,8,a,1,29,48,i,0,2,33,l,0
59206,35,2062,2,4,6,8,57,48,15,25,54,k,14,46,i,20,9,j,0,4,28,j,0,15,22,l,0,2,28,e,1,24,59,c,1,17,25,h,0,20,27,c,1,22,48,l,0,2,44,a,1,4,5,a,1,29,55,i,0,2,37,l,0
59207,36,2062,2,5,7,9,1,44,16,26,46,k,26,37,i,21,1,j,0,5,3,j,0,16,9,l,0,2,20,e,1,24,57,c,1,17,26,h,0,20,26,c,1,22,49,l,0,2,38,a,1,4,2,a,1,0,1,j,0,2,41,l,0
59208,37,2062,2,6,1,9,5,41,17,27,37,k,8,29,j,21,56,j,0,5,40,j,0,16,55,l,0,2,13,e,1,24,55,c,1,17,27,h,0,20,26,c,1,22,51,l,0,2,30,a,1,3,58,a,1,0,8,j,0,2,45,l,0
59209,38,2062,2,7,2,9,9,38,18,28,27,k,20,27,j,22,54,j,0,6,18,j,0,17,42,l,0,2,5,e,1,24,53,c,1,17,27,h,0,20,25,c,1,22,52,l,0,2,21,a,1,3,55,a,1,0,15,j,0,2,49,l,0
59210,39,2062,2,8,3,9,13,34,19,29,15,k,2,32,k,23,56,j,0,6,58,j,0,18,29,l,0,1,58,e,1,24,51,c,1,17,28,h,0,20,24,c,1,22,53,l,0,2,12,a,1,3,52,a,1,0,21,j,0,2,53,l,0
59211,40,2062,2,9,4,9,17,31,20,30,3,k,14,45,k,24,59,j,0,7,38,j,0,19,16,l,0,1,51,e,1,24,50,c,1,17,29,h,0,20,23,c,1,22,55,l,0,2,4,a,1,3,49,a,1,0,28,j,0,2,57,l,0
59212,41,2062,2,10,5,9,21,27,21,30,49,k,27,8,k,26,5,j,0,8,20,j,0,20,3,l,0,1,43,e,1,24,48,c,1,17,29,h,0,20,23,c,1,22,56,l,0,1,58,a,1,3,46,a,1,0,35,j,0,3,1,l,0
59213,42,2062,2,11,6,9,25,24,22,31,34,k,9,41,l,27,13,j,0,9,3,j,0,20,49,l,0,1,36,e,1,24,47,c,1,17,30,h,0,20,22,c,1,22,58,l,0,1,54,a,1,3,43,a,1,0,42,j,0,3,5,l,0
59214,43,2062,2,12,7,9,29,20,23,32,18,k,22,25,l,28,24,j,0,9,47,j,0,21,36,l,0,1,29,e,1,24,45,c,1,17,30,h,0,20,22,c,1,22,59,l,0,1,51,a,1,3,39,a,1,0,48,j,0,3,9,l,0
59215,44,2062,2,13,1,9,33,17,24,33,0,k,5,21,a,29,36,j,0,10,31,j,0,22,23,l,0,1,22,e,1,24,44,c,1,17,31,h,0,20,21,c,1,23,0,l,0,1,51,a,0,3,36,a,1,0,55,j,0,3,13,l,0
59216,45,2062,2,14,2,9,37,13,25,33,40,k,18,29,a,0,50,k,0,11,17,j,0,23,9,l,0,1,16,e,1,24,43,c,1,17,31,h,0,20,21,c,1,23,2,l,0,1,52,a,0,3,33,a,1,1,2,j,0,3,17,l,0
59217,46,2062,2,15,3,9,41,10,26,34,19,k,1,51,b,2,5,k,0,12,4,j,0,23,56,l,0,1,9,e,1,24,42,c,1,17,31,h,0,20,20,c,1,23,3,l,0,1,54,a,0,3,30,a,1,1,8,j,0,3,21,l,0
59218,47,2062,2,16,4,9,45,7,27,34,56,k,15,27,b,3,22,k,0,12,51,j,0,24,42,l,0,1,2,e,1,24,41,c,1,17,32,h,0,20,20,c,1,23,4,l,0,1,55,a,0,3,27,a,1,1,15,j,0,3,25,l,0
59219,48,2062,2,17,5,9,49,3,28,35,32,k,29,20,b,4,41,k,0,13,40,j,0,25,29,l,0,0,56,e,1,24,40,c,1,17,32,h,0,20,19,c,1,23,6,l,0,1,55,a,1,3,24,a,1,1,22,j,0,3,29,l,0
59220,49,2062,2,18,6,9,53,0,29,36,6,k,13,28,c,6,1,k,0,14,29,j,0,26,15,l,0,0,50,e,1,24,39,c,1,17,32,h,0,20,19,c,1,23,7,l,0,1,55,a,1,3,20,a,1,1,29,j,0,3,33,l,0
59221,50,2062,2,19,7,9,56,56,0,36,38,l,27,50,c,7,22,k,0,15,19,j,0,27,2,l,0,0,44,e,1,24,38,c,1,17,32,h,0,20,18,c,1,23,9,l,0,1,52,a,1,3,17,a,1,1,35,j,0,3,37,l,0
59222,51,2062,2,20,1,10,0,53,1,37,8,l,12,23,d,8,44,k,0,16,9,j,0,27,48,l,0,0,38,e,1,24,38,c,1,17,32,h,1,20,18,c,1,23,10,l,0,1,49,a,1,3,14,a,1,1,42,j,0,3,41,l,0
59223,52,2062,2,21,2,10,4,49,2,37,36,l,27,2,d,10,8,k,0,17,1,j,0,28,35,l,0,0,32,e,1,24,38,c,1,17,32,h,1,20,18,c,1,23,12,l,0,1,45,a,1,3,11,a,1,1,49,j,0,3,45,l,0
59224,53,2062,2,22,3,10,8,46,3,38,3,l,11,41,e,11,33,k,0,17,53,j,0,29,21,l,0,0,26,e,1,24,37,c,1,17,32,h,1,20,18,c,1,23,13,l,0,1,40,a,1,3,8,a,1,1,56,j,0,3,49,l,0
59225,54,2062,2,23,4,10,12,43,4,38,27,l,26,13,e,12,59,k,0,18,46,j,0,0,7,a,0,0,21,e,1,24,37,c,1,17,32,h,1,20,17,c,1,23,15,l,0,1,37,a,1,3,4,a,1,2,2,j,0,3,53,l,0
59226,55,2062,2,24,5,10,16,39,5,38,50,l,10,31,f,14,26,k,0,19,39,j,0,0,54,a,0,0,15,e,1,24,37,c,0,17,32,h,1,20,17,c,1,23,16,l,0,1,34,a,1,3,1,a,1,2,9,j,0,3,57,l,0
