1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
35064,365,1995,12,31,7,6,35,49,8,49,15,j,4,28,b,27,56,j,0,11,23,k,0,23,23,j,0,29,15,i,0,19,20,l,0,29,18,j,0,24,38,j,0,1,55,i,0,23,31,g,1,22,29,g,1,10,23,d,0,13,32,g,0
35065,1,1996,1,1,1,6,39,45,9,50,24,j,16,42,b,29,8,j,0,12,37,k,0,24,10,j,0,29,29,i,0,19,24,l,0,29,21,j,0,24,41,j,0,1,57,i,0,23,28,g,1,22,26,g,1,10,30,d,0,13,35,g,0
35066,2,1996,1,2,2,6,43,42,10,51,33,j,28,45,b,0,16,k,0,13,51,k,0,24,57,j,0,29,42,i,0,19,28,l,0,29,24,j,0,24,43,j,0,1,59,i,0,23,24,g,1,22,23,g,1,10,36,d,0,13,39,g,0
35067,3,1996,1,3,3,6,47,38,11,52,41,j,10,43,c,1,19,k,0,15,5,k,0,25,44,j,0,29,56,i,0,19,32,l,0,29,28,j,0,24,45,j,0,2,1,i,0,23,16,g,1,22,20,g,1,10,43,d,0,13,42,g,0
35068,4,1996,1,4,4,6,51,35,12,53,50,j,22,37,c,2,16,k,0,16,19,k,0,26,31,j,0,0,9,j,0,19,36,l,0,29,31,j,0,24,47,j,0,2,3,i,0,23,5,g,1,22,17,g,1,10,50,d,0,13,45,g,0
35069,5,1996,1,5,5,6,55,32,13,54,59,j,4,29,d,3,7,k,0,17,32,k,0,27,18,j,0,0,23,j,0,19,41,l,0,29,35,j,0,24,50,j,0,2,5,i,0,22,51,g,1,22,14,g,1,10,56,d,0,13,48,g,0
35070,6,1996,1,6,6,6,59,28,14,56,7,j,16,22,d,3,50,k,0,18,46,k,0,28,4,j,0,0,36,j,0,19,45,l,0,29,38,j,0,24,52,j,0,2,7,i,0,22,37,g,1,22,10,g,1,11,3,d,0,13,50,g,0
35071,7,1996,1,7,7,7,3,25,15,57,15,j,28,15,d,4,24,k,0,19,59,k,0,28,51,j,0,0,50,j,0,19,50,l,0,29,42,j,0,24,54,j,0,2,9,i,0,22,21,g,1,22,7,g,1,11,10,d,0,13,53,g,0
35072,8,1996,1,8,1,7,7,21,16,58,24,j,10,12,e,4,50,k,0,21,13,k,0,29,38,j,0,1,3,j,0,19,54,l,0,29,45,j,0,24,56,j,0,2,10,i,0,22,7,g,1,22,4,g,1,11,17,d,0,13,56,g,0
35073,9,1996,1,9,2,7,11,18,17,59,32,j,22,12,e,5,5,k,0,22,26,k,0,0,25,k,0,1,17,j,0,19,59,l,0,29,48,j,0,24,59,j,0,2,12,i,0,21,55,g,1,22,1,g,1,11,23,d,0,13,58,g,0
35074,10,1996,1,10,3,7,15,14,19,0,40,j,4,18,f,5,10,k,1,23,40,k,0,1,12,k,0,1,30,j,0,20,4,l,0,29,52,j,0,25,1,j,0,2,14,i,0,21,46,g,1,21,58,g,1,11,30,d,0,14,0,g,0
35075,11,1996,1,11,4,7,19,11,20,1,48,j,16,33,f,5,3,k,1,24,53,k,0,1,59,k,0,1,44,j,0,20,8,l,0,29,55,j,0,25,3,j,0,2,16,i,0,21,40,g,1,21,55,g,1,11,37,d,0,14,2,g,0
35076,12,1996,1,12,5,7,23,7,21,2,56,j,29,0,f,4,45,k,1,26,7,k,0,2,47,k,0,1,57,j,0,20,13,l,0,29,59,j,0,25,5,j,0,2,18,i,0,21,36,g,1,21,51,g,1,11,43,d,0,14,4,g,0
35077,13,1996,1,13,6,7,27,4,22,4,4,j,11,42,g,4,14,k,1,27,20,k,0,3,34,k,0,2,10,j,0,20,18,l,0,0,2,k,0,25,8,j,0,2,19,i,0,21,35,g,1,21,48,g,1,11,50,d,0,14,6,g,0
35078,14,1996,1,14,7,7,31,1,23,5,12,j,24,44,g,3,32,k,1,28,33,k,0,4,21,k,0,2,24,j,0,20,23,l,0,0,6,k,0,25,10,j,0,2,21,i,0,21,35,g,1,21,45,g,1,11,57,d,0,14,8,g,0
35079,15,1996,1,15,1,7,34,57,24,6,20,j,8,10,h,2,40,k,1,29,46,k,0,5,8,k,0,2,37,j,0,20,28,l,0,0,9,k,0,25,12,j,0,2,23,i,0,21,35,g,1,21,42,g,1,12,4,d,0,14,10,g,0
35080,16,1996,1,16,2,7,38,54,25,7,28,j,22,2,h,1,38,k,1,0,59,l,0,5,55,k,0,2,50,j,0,20,34,l,0,0,13,k,0,25,15,j,0,2,24,i,0,21,33,g,1,21,39,g,1,12,10,d,0,14,12,g,0
35081,17,1996,1,17,3,7,42,50,26,8,35,j,6,23,i,0,29,k,1,2,12,l,0,6,42,k,0,3,3,j,0,20,39,l,0,0,17,k,0,25,17,j,0,2,26,i,0,21,28,g,1,21,35,g,1,12,17,d,0,14,13,g,0
35082,18,1996,1,18,4,7,46,47,27,9,43,j,21,9,i,29,15,j,1,3,26,l,0,7,30,k,0,3,16,j,0,20,44,l,0,0,20,k,0,25,19,j,0,2,28,i,0,21,21,g,1,21,32,g,1,12,24,d,0,14,14,g,0
35083,19,1996,1,19,5,7,50,43,28,10,50,j,6,15,j,27,57,j,1,4,38,l,0,8,17,k,0,3,30,j,0,20,50,l,0,0,24,k,0,25,21,j,0,2,29,i,0,21,11,g,1,21,29,g,1,12,31,d,0,14,16,g,0
35084,20,1996,1,20,6,7,54,40,29,11,57,j,21,33,j,26,39,j,1,5,51,l,0,9,4,k,0,3,43,j,0,20,55,l,0,0,27,k,0,25,24,j,0,2,31,i,0,21,0,g,1,21,26,g,1,12,37,d,0,14,17,g,0
35085,21,1996,1,21,7,7,58,36,0,13,3,k,6,51,k,25,23,j,1,7,4,l,0,9,51,k,0,3,56,j,0,21,1,l,0,0,31,k,0,25,26,j,0,2,32,i,0,20,48,g,1,21,23,g,1,12,44,d,0,14,18,g,0
35086,22,1996,1,22,1,8,2,33,1,14,8,k,21,57,k,24,10,j,1,8,17,l,0,10,39,k,0,4,9,j,0,21,6,l,0,0,34,k,0,25,28,j,0,2,34,i,0,20,38,g,1,21,20,g,1,12,51,d,0,14,18,g,0
35087,23,1996,1,23,2,8,6,30,2,15,13,k,6,41,l,23,3,j,1,9,30,l,0,11,26,k,0,4,22,j,0,21,12,l,0,0,38,k,0,25,30,j,0,2,35,i,0,20,29,g,1,21,16,g,1,12,57,d,0,14,19,g,0
35088,24,1996,1,24,3,8,10,26,3,16,16,k,20,59,l,22,4,j,1,10,42,l,0,12,13,k,0,4,34,j,0,21,18,l,0,0,41,k,0,25,33,j,0,2,37,i,0,20,24,g,1,21,13,g,1,13,4,d,0,14,20,g,0
35089,25,1996,1,25,4,8,14,23,4,17,19,k,4,46,a,21,12,j,1,11,55,l,0,13,1,k,0,4,47,j,0,21,23,l,0,0,45,k,0,25,35,j,0,2,38,i,0,20,21,g,1,21,10,g,1,13,11,d,0,14,20,g,0
35090,26,1996,1,26,5,8,18,19,5,18,20,k,18,3,a,20,29,j,1,13,7,l,0,13,48,k,0,5,0,j,0,21,29,l,0,0,48,k,0,25,37,j,0,2,39,i,0,20,20,g,0,21,7,g,1,13,18,d,0,14,21,g,0
35091,27,1996,1,27,6,8,22,16,6,19,21,k,0,55,b,19,56,j,1,14,20,l,0,14,35,k,0,5,13,j,0,21,35,l,0,0,52,k,0,25,40,j,0,2,41,i,0,20,20,g,1,21,4,g,1,13,24,d,0,14,21,g,0
35092,28,1996,1,28,7,8,26,12,7,20,20,k,13,24,b,19,31,j,1,15,32,l,0,15,23,k,0,5,25,j,0,21,41,l,0,0,55,k,0,25,42,j,0,2,42,i,0,20,20,g,1,21,1,g,1,13,31,d,0,14,21,g,0
35093,29,1996,1,29,1,8,30,9,8,21,18,k,25,37,b,19,15,j,1,16,44,l,0,16,10,k,0,5,38,j,0,21,47,l,0,0,59,k,0,25,44,j,0,2,43,i,0,20,18,g,1,20,57,g,1,13,38,d,0,14,21,g,1
35094,30,1996,1,30,2,8,34,5,9,22,15,k,7,38,c,19,8,j,0,17,56,l,0,16,58,k,0,5,51,j,0,21,53,l,0,1,2,k,0,25,46,j,0,2,44,i,0,20,15,g,1,20,54,g,1,13,44,d,0,14,21,g,1
35095,31,1996,1,31,3,8,38,2,10,23,11,k,19,33,c,19,8,j,0,19,8,l,0,17,45,k,0,6,3,j,0,22,0,l,0,1,6,k,0,25,48,j,0,2,46,i,0,20,8,g,1,20,51,g,1,13,51,d,0,14,21,g,1
