1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
42004,365,2014,12,31,3,6,37,23,9,12,41,j,7,19,b,22,4,j,0,25,28,j,0,20,16,k,0,21,50,e,1,0,46,i,0,12,36,a,0,5,22,l,0,13,8,j,0,15,30,g,1,14,59,g,1,3,41,f,0,13,44,l,0
42005,1,2015,1,1,4,6,41,19,10,13,50,j,20,37,b,23,39,j,0,26,43,j,0,21,3,k,0,21,46,e,1,0,52,i,0,12,37,a,0,5,23,l,0,13,10,j,0,15,26,g,1,14,56,g,1,3,48,f,0,13,46,l,0
42006,2,2015,1,2,5,6,45,16,11,14,58,j,3,44,c,25,14,j,0,27,58,j,0,21,50,k,0,21,41,e,1,0,58,i,0,12,37,a,0,5,25,l,0,13,12,j,0,15,20,g,1,14,53,g,1,3,54,f,0,13,49,l,0
42007,3,2015,1,3,6,6,49,13,12,16,6,j,16,39,c,26,49,j,0,29,14,j,0,22,37,k,0,21,36,e,1,1,4,i,0,12,38,a,0,5,26,l,0,13,14,j,0,15,10,g,1,14,50,g,1,4,1,f,0,13,51,l,0
42008,4,2015,1,4,7,6,53,9,13,17,14,j,29,24,c,28,23,j,0,0,29,k,0,23,24,k,0,21,32,e,1,1,10,i,0,12,39,a,0,5,28,l,0,13,16,j,0,14,57,g,1,14,47,g,1,4,8,f,0,13,53,l,0
42009,5,2015,1,5,1,6,57,6,14,18,22,j,11,59,d,29,56,j,0,1,44,k,0,24,11,k,0,21,27,e,1,1,16,i,0,12,39,a,0,5,29,l,0,13,18,j,0,14,43,g,1,14,44,g,1,4,14,f,0,13,55,l,0
42010,6,2015,1,6,2,7,1,2,15,19,30,j,24,22,d,1,27,k,0,2,59,k,0,24,58,k,0,21,21,e,1,1,22,i,0,12,40,a,0,5,31,l,0,13,20,j,0,14,28,g,1,14,40,g,1,4,21,f,0,13,57,l,0
42011,7,2015,1,7,3,7,4,59,16,20,38,j,6,34,e,2,58,k,0,4,14,k,0,25,45,k,0,21,16,e,1,1,27,i,0,12,41,a,0,5,32,l,0,13,22,j,0,14,15,g,1,14,37,g,1,4,28,f,0,14,0,l,0
42012,8,2015,1,8,4,7,8,55,17,21,46,j,18,36,e,4,27,k,0,5,29,k,0,26,32,k,0,21,11,e,1,1,33,i,0,12,42,a,0,5,34,l,0,13,25,j,0,14,3,g,1,14,34,g,1,4,34,f,0,14,2,l,0
42013,9,2015,1,9,5,7,12,52,18,22,54,j,0,31,f,5,54,k,0,6,44,k,0,27,19,k,0,21,5,e,1,1,39,i,0,12,43,a,0,5,36,l,0,13,27,j,0,13,53,g,1,14,31,g,1,4,41,f,0,14,4,l,0
42014,10,2015,1,10,6,7,16,48,19,24,2,j,12,20,f,7,18,k,0,7,59,k,0,28,6,k,0,20,59,e,1,1,44,i,0,12,44,a,0,5,37,l,0,13,29,j,0,13,47,g,1,14,28,g,1,4,48,f,0,14,7,l,0
42015,11,2015,1,11,7,7,20,45,20,25,10,j,24,7,f,8,39,k,0,9,14,k,0,28,53,k,0,20,53,e,1,1,50,i,0,12,45,a,0,5,39,l,0,13,31,j,0,13,43,g,1,14,25,g,1,4,54,f,0,14,9,l,0
42016,12,2015,1,12,1,7,24,42,21,26,17,j,5,58,g,9,57,k,0,10,30,k,0,29,40,k,0,20,47,e,1,1,55,i,0,12,46,a,0,5,41,l,0,13,33,j,0,13,42,g,1,14,21,g,1,5,1,f,0,14,12,l,0
42017,13,2015,1,13,2,7,28,38,22,27,25,j,17,56,g,11,11,k,0,11,45,k,0,0,27,l,0,20,41,e,1,2,1,i,0,12,47,a,0,5,43,l,0,13,35,j,0,13,42,g,1,14,18,g,1,5,8,f,0,14,15,l,0
