1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
6210,366,1916,12,31,7,6,36,21,9,0,20,j,2,38,a,27,56,j,0,10,46,i,0,22,33,j,0,25,36,a,0,28,34,d,1,17,30,k,0,4,9,e,1,3,16,d,1,19,55,j,0,20,25,j,1,5,56,e,0,22,9,l,0
6211,1,1917,1,1,1,6,40,17,10,1,30,j,16,12,a,29,10,j,0,12,1,i,0,23,19,j,0,25,38,a,0,28,29,d,1,17,33,k,0,4,8,e,1,3,15,d,1,19,55,j,1,20,22,j,1,6,2,e,0,22,11,l,0
6212,2,1917,1,2,2,6,44,14,11,2,39,j,29,25,a,0,20,k,0,13,15,i,0,24,6,j,0,25,41,a,0,28,25,d,1,17,36,k,0,4,6,e,1,3,14,d,1,19,55,j,1,20,19,j,1,6,9,e,0,22,12,l,0
6213,3,1917,1,3,3,6,48,10,12,3,48,j,12,20,b,1,25,k,0,14,30,i,0,24,53,j,0,25,43,a,0,28,20,d,1,17,39,k,0,4,5,e,1,3,12,d,1,19,54,j,1,20,16,j,1,6,16,e,0,22,14,l,0
6214,4,1917,1,4,4,6,52,7,13,4,57,j,24,59,b,2,24,k,0,15,45,i,0,25,40,j,0,25,46,a,0,28,16,d,1,17,42,k,0,4,3,e,1,3,11,d,1,19,53,j,1,20,13,j,1,6,22,e,0,22,15,l,0
6215,5,1917,1,5,5,6,56,4,14,6,6,j,7,24,c,3,18,k,0,16,59,i,0,26,27,j,0,25,49,a,0,28,11,d,1,17,45,k,0,4,2,e,1,3,10,d,1,19,52,j,1,20,10,j,1,6,29,e,0,22,17,l,0
6216,6,1917,1,6,6,7,0,0,15,7,14,j,19,38,c,4,4,k,0,18,14,i,0,27,14,j,0,25,52,a,0,28,6,d,1,17,48,k,0,4,0,e,1,3,9,d,1,19,52,j,1,20,6,j,1,6,35,e,0,22,19,l,0
6217,7,1917,1,7,7,7,3,57,16,8,23,j,1,43,d,4,42,k,0,19,29,i,0,28,1,j,0,25,56,a,0,28,1,d,1,17,51,k,0,3,58,e,1,3,8,d,1,19,51,j,1,20,3,j,1,6,42,e,0,22,21,l,0
6218,8,1917,1,8,1,7,7,53,17,9,31,j,13,40,d,5,11,k,0,20,43,i,0,28,48,j,0,25,59,a,0,27,57,d,1,17,54,k,0,3,57,e,1,3,7,d,1,19,51,j,1,20,0,j,1,6,49,e,0,22,23,l,0
6219,9,1917,1,9,2,7,11,50,18,10,38,j,25,33,d,5,31,k,0,21,58,i,0,29,35,j,0,26,3,a,0,27,52,d,1,17,58,k,0,3,55,e,1,3,5,d,1,19,51,j,0,19,57,j,1,6,55,e,0,22,25,l,0
6220,10,1917,1,10,3,7,15,46,19,11,46,j,7,21,e,5,40,k,1,23,13,i,0,0,22,k,0,26,7,a,0,27,47,d,1,18,1,k,0,3,54,e,1,3,4,d,1,19,51,j,0,19,54,j,1,7,2,e,0,22,27,l,0
6221,11,1917,1,11,4,7,19,43,20,12,53,j,19,9,e,5,37,k,1,24,27,i,0,1,9,k,0,26,11,a,0,27,42,d,1,18,4,k,0,3,52,e,1,3,3,d,1,19,51,j,1,19,50,j,1,7,9,e,0,22,29,l,0
6222,12,1917,1,12,5,7,23,40,21,14,0,j,0,59,f,5,23,k,1,25,42,i,0,1,56,k,0,26,15,a,0,27,37,d,1,18,7,k,0,3,50,e,1,3,2,d,1,19,51,j,1,19,47,j,1,7,15,e,0,22,31,l,0
6223,13,1917,1,13,6,7,27,36,22,15,6,j,12,52,f,4,57,k,1,26,57,i,0,2,43,k,0,26,20,a,0,27,32,d,1,18,10,k,0,3,49,e,1,3,1,d,1,19,51,j,1,19,44,j,1,7,22,e,0,22,33,l,0
6224,14,1917,1,14,7,7,31,33,23,16,13,j,24,54,f,4,19,k,1,28,12,i,0,3,30,k,0,26,25,a,0,27,27,d,1,18,13,k,0,3,47,e,1,3,0,d,1,19,50,j,1,19,41,j,1,7,29,e,0,22,35,l,0
6225,15,1917,1,15,1,7,35,29,24,17,19,j,7,7,g,3,31,k,1,29,26,i,0,4,17,k,0,26,29,a,0,27,22,d,1,18,17,k,0,3,45,e,1,2,58,d,1,19,50,j,1,19,38,j,1,7,35,e,0,22,37,l,0
6226,16,1917,1,16,2,7,39,26,25,18,25,j,19,36,g,2,33,k,1,0,41,j,0,5,4,k,0,26,34,a,0,27,17,d,1,18,20,k,0,3,44,e,1,2,57,d,1,19,50,j,0,19,35,j,1,7,42,e,0,22,39,l,0
6227,17,1917,1,17,3,7,43,22,26,19,31,j,2,25,h,1,26,k,1,1,56,j,0,5,52,k,0,26,40,a,0,27,13,d,1,18,23,k,0,3,42,e,1,2,56,d,1,19,50,j,0,19,31,j,1,7,49,e,0,22,42,l,0
6228,18,1917,1,18,4,7,47,19,27,20,37,j,15,37,h,0,14,k,1,3,11,j,0,6,39,k,0,26,45,a,0,27,8,d,1,18,27,k,0,3,40,e,1,2,55,d,1,19,50,j,0,19,28,j,1,7,55,e,0,22,44,l,0
6229,19,1917,1,19,5,7,51,15,28,21,42,j,29,15,h,28,58,j,1,4,26,j,0,7,26,k,0,26,51,a,0,27,3,d,1,18,30,k,0,3,39,e,1,2,54,d,1,19,51,j,0,19,25,j,1,8,2,e,0,22,46,l,0
6230,20,1917,1,20,6,7,55,12,29,22,47,j,13,21,i,27,40,j,1,5,41,j,0,8,13,k,0,26,57,a,0,26,58,d,1,18,33,k,0,3,37,e,1,2,53,d,1,19,51,j,0,19,22,j,1,8,9,e,0,22,49,l,0
6231,21,1917,1,21,7,7,59,9,0,23,52,k,27,52,i,26,23,j,1,6,55,j,0,9,1,k,0,27,3,a,0,26,53,d,1,18,37,k,0,3,35,e,1,2,52,d,1,19,52,j,0,19,19,j,1,8,15,e,0,22,51,l,0
6232,22,1917,1,22,1,8,3,5,1,24,56,k,12,45,j,25,9,j,1,8,10,j,0,9,48,k,0,27,9,a,0,26,48,d,1,18,40,k,0,3,34,e,1,2,51,d,1,19,53,j,1,19,16,j,1,8,22,e,0,22,54,l,0
6233,23,1917,1,23,2,8,7,2,2,26,0,k,27,54,j,24,1,j,1,9,25,j,0,10,35,k,0,27,15,a,0,26,43,d,1,18,43,k,0,3,32,e,1,2,50,d,1,19,53,j,1,19,12,j,1,8,29,e,0,22,56,l,0
6234,24,1917,1,24,3,8,10,58,3,27,3,k,13,8,k,22,58,j,1,10,40,j,0,11,23,k,0,27,21,a,0,26,38,d,1,18,47,k,0,3,30,e,1,2,49,d,1,19,52,j,1,19,9,j,1,8,35,e,0,22,59,l,0
6235,25,1917,1,25,4,8,14,55,4,28,4,k,28,19,k,22,4,j,1,11,55,j,0,12,10,k,0,27,28,a,0,26,33,d,1,18,50,k,0,3,29,e,1,2,48,d,1,19,51,j,1,19,6,j,1,8,42,e,0,23,1,l,0
6236,26,1917,1,26,5,8,18,51,5,29,5,k,13,16,l,21,18,j,1,13,10,j,0,12,57,k,0,27,35,a,0,26,28,d,1,18,53,k,0,3,27,e,1,2,47,d,1,19,49,j,1,19,3,j,1,8,49,e,0,23,4,l,0
6237,27,1917,1,27,6,8,22,48,6,30,5,k,27,52,l,20,40,j,1,14,25,j,0,13,45,k,0,27,42,a,0,26,23,d,1,18,57,k,0,3,25,e,1,2,46,d,1,19,47,j,1,19,0,j,1,8,55,e,0,23,7,l,0
6238,28,1917,1,28,7,8,26,44,7,31,3,k,12,3,a,20,12,j,1,15,40,j,0,14,32,k,0,27,49,a,0,26,19,d,1,19,0,k,0,3,23,e,1,2,45,d,1,19,45,j,1,18,56,j,1,9,2,e,0,23,9,l,0
6239,29,1917,1,29,1,8,30,41,8,32,1,k,25,46,a,19,53,j,1,16,54,j,0,15,19,k,0,27,56,a,0,26,14,d,1,19,4,k,0,3,22,e,1,2,44,d,1,19,43,j,1,18,53,j,1,9,8,e,0,23,12,l,0
6240,30,1917,1,30,2,8,34,38,9,32,57,k,9,2,b,19,42,j,1,18,9,j,0,16,7,k,0,28,4,a,0,26,9,d,1,19,7,k,0,3,20,e,1,2,43,d,1,19,43,j,0,18,50,j,1,9,15,e,0,23,15,l,0
6241,31,1917,1,31,3,8,38,34,10,33,52,k,21,55,b,19,39,j,0,19,24,j,0,16,54,k,0,28,11,a,0,26,4,d,1,19,11,k,0,3,18,e,1,2,42,d,1,19,43,j,0,18,47,j,1,9,22,e,0,23,18,l,0
6242,32,1917,2,1,4,8,42,31,11,34,45,k,4,26,c,19,43,j,0,20,39,j,0,17,42,k,0,28,19,a,0,26,0,d,1,19,14,k,0,3,17,e,1,2,41,d,1,19,44,j,0,18,44,j,1,9,28,e,0,23,21,l,0
