1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
39082,365,2006,12,31,7,6,37,8,9,9,18,j,23,25,b,4,56,j,0,24,48,j,0,17,42,i,0,7,59,i,0,24,30,e,1,11,30,l,0,18,5,k,0,26,59,i,0,19,0,l,1,19,43,l,1,7,59,g,0,7,42,k,0
39083,1,2007,1,1,1,6,41,5,10,10,27,j,7,25,c,6,31,j,0,26,3,j,0,18,26,i,0,8,12,i,0,24,28,e,1,11,32,l,0,18,7,k,0,27,2,i,0,18,51,l,1,19,40,l,1,8,5,g,0,7,47,k,0
39084,2,2007,1,2,2,6,45,1,11,11,35,j,21,18,c,8,6,j,0,27,19,j,0,19,9,i,0,8,24,i,0,24,25,e,1,11,34,l,0,18,9,k,0,27,4,i,0,18,40,l,1,19,37,l,1,8,12,g,0,7,51,k,0
39085,3,2007,1,3,3,6,48,58,12,12,43,j,4,58,d,9,42,j,0,28,34,j,0,19,53,i,0,8,36,i,0,24,22,e,1,11,36,l,0,18,11,k,0,27,6,i,0,18,28,l,1,19,34,l,1,8,19,g,0,7,56,k,0
39086,4,2007,1,4,4,6,52,54,13,13,51,j,18,23,d,11,18,j,0,29,49,j,0,20,36,i,0,8,48,i,0,24,19,e,1,11,39,l,0,18,13,k,0,27,8,i,0,18,17,l,1,19,31,l,1,8,25,g,0,8,0,k,0
39087,5,2007,1,5,5,6,56,51,14,14,59,j,1,30,e,12,54,j,0,1,4,k,0,21,20,i,0,9,1,i,0,24,16,e,1,11,41,l,0,18,15,k,0,27,10,i,0,18,7,l,1,19,27,l,1,8,32,g,0,8,5,k,0
39088,6,2007,1,6,6,7,0,47,15,16,8,j,14,17,e,14,31,j,0,2,19,k,0,22,3,i,0,9,13,i,0,24,13,e,1,11,43,l,0,18,17,k,0,27,12,i,0,17,59,l,1,19,24,l,1,8,39,g,0,8,9,k,0
39089,7,2007,1,7,7,7,4,44,16,17,16,j,26,46,e,16,8,j,0,3,34,k,0,22,47,i,0,9,25,i,0,24,9,e,1,11,45,l,0,18,19,k,0,27,15,i,0,17,54,l,1,19,21,l,1,8,45,g,0,8,14,k,0
39090,8,2007,1,8,1,7,8,40,17,18,24,j,8,59,f,17,46,j,0,4,50,k,0,23,31,i,0,9,37,i,0,24,6,e,1,11,48,l,0,18,21,k,0,27,17,i,0,17,52,l,1,19,18,l,1,8,52,g,0,8,18,k,0
39091,9,2007,1,9,2,7,12,37,18,19,32,j,20,59,f,19,24,j,0,6,5,k,0,24,14,i,0,9,48,i,0,24,3,e,1,11,50,l,0,18,23,k,0,27,19,i,0,17,51,l,0,19,15,l,1,8,59,g,0,8,23,k,0
39092,10,2007,1,10,3,7,16,34,19,20,40,j,2,50,g,21,2,j,0,7,20,k,0,24,58,i,0,10,0,i,0,23,59,e,1,11,52,l,0,18,25,k,0,27,21,i,0,17,52,l,0,19,12,l,1,9,5,g,0,8,28,k,0
39093,11,2007,1,11,4,7,20,30,20,21,49,j,14,38,g,22,41,j,0,8,35,k,0,25,42,i,0,10,12,i,0,23,56,e,1,11,55,l,0,18,27,k,0,27,23,i,0,17,53,l,0,19,8,l,1,9,12,g,0,8,32,k,0
39094,12,2007,1,12,5,7,24,27,21,22,57,j,26,28,g,24,20,j,0,9,50,k,0,26,26,i,0,10,24,i,0,23,52,e,1,11,57,l,0,18,29,k,0,27,25,i,0,17,53,l,1,19,5,l,1,9,18,g,0,8,37,k,0
39095,13,2007,1,13,6,7,28,23,22,24,5,j,8,25,h,26,0,j,0,11,5,k,0,27,10,i,0,10,35,i,0,23,48,e,1,12,0,l,0,18,31,k,0,27,27,i,0,17,51,l,1,19,2,l,1,9,25,g,0,8,42,k,0
39096,14,2007,1,14,7,7,32,20,23,25,13,j,20,36,h,27,40,j,0,12,20,k,0,27,54,i,0,10,47,i,0,23,44,e,1,12,2,l,0,18,33,k,0,27,29,i,0,17,48,l,1,18,59,l,1,9,32,g,0,8,46,k,0
39097,15,2007,1,15,1,7,36,16,24,26,21,j,3,3,i,29,20,j,0,13,35,k,0,28,38,i,0,10,58,i,0,23,41,e,1,12,5,l,0,18,35,k,0,27,31,i,0,17,42,l,1,18,56,l,1,9,38,g,0,8,51,k,0
39098,16,2007,1,16,2,7,40,13,25,27,29,j,15,50,i,1,1,k,0,14,50,k,0,29,22,i,0,11,10,i,0,23,37,e,1,12,7,l,0,18,37,k,0,27,33,i,0,17,34,l,1,18,53,l,1,9,45,g,0,8,56,k,0
39099,17,2007,1,17,3,7,44,9,26,28,37,j,28,59,i,2,43,k,0,16,5,k,0,0,6,j,0,11,21,i,0,23,33,e,1,12,10,l,0,18,39,k,0,27,35,i,0,17,25,l,1,18,49,l,1,9,52,g,0,9,0,k,0
