1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
25568,365,1969,12,31,3,6,36,59,9,8,14,j,28,19,f,28,23,j,0,3,12,j,0,11,29,l,0,2,11,h,0,2,4,b,1,8,43,g,0,29,51,h,0,27,24,f,1,14,3,l,0,15,20,l,1,2,39,e,0,2,30,a,0
25569,1,1970,1,1,4,6,40,55,10,9,23,j,10,42,g,29,1,j,0,4,27,j,0,12,14,l,0,2,20,h,0,2,4,b,1,8,43,g,0,29,53,h,0,27,24,f,1,14,4,l,1,15,17,l,1,2,46,e,0,2,31,a,0
25570,2,1970,1,2,5,6,44,52,11,10,32,j,23,26,g,29,31,j,0,5,43,j,0,12,59,l,0,2,28,h,0,2,3,b,1,8,44,g,0,29,55,h,0,27,23,f,1,14,3,l,1,15,14,l,1,2,53,e,0,2,32,a,0
25571,3,1970,1,3,6,6,48,49,12,11,42,j,6,37,h,29,50,j,0,6,58,j,0,13,44,l,0,2,36,h,0,2,3,b,1,8,45,g,0,29,57,h,0,27,23,f,1,14,0,l,1,15,11,l,1,2,59,e,0,2,33,a,0
25572,4,1970,1,4,7,6,52,45,13,12,52,j,20,17,h,29,59,j,1,8,14,j,0,14,28,l,0,2,44,h,0,2,3,b,0,8,45,g,0,29,59,h,0,27,23,f,1,13,55,l,1,15,8,l,1,3,6,e,0,2,34,a,0
25573,5,1970,1,5,1,6,56,42,14,14,3,j,4,27,i,29,58,j,1,9,29,j,0,15,13,l,0,2,51,h,0,2,3,b,0,8,46,g,0,0,0,i,0,27,23,f,1,13,47,l,1,15,5,l,1,3,13,e,0,2,36,a,0
25574,6,1970,1,6,2,7,0,38,15,15,13,j,19,5,i,29,44,j,1,10,45,j,0,15,58,l,0,2,59,h,0,2,4,b,0,8,46,g,0,0,2,i,0,27,23,f,1,13,38,l,1,15,1,l,1,3,19,e,0,2,37,a,0
25575,7,1970,1,7,3,7,4,35,16,16,24,j,4,6,j,29,19,j,1,12,0,j,0,16,43,l,0,3,6,h,0,2,4,b,0,8,46,g,0,0,4,i,0,27,23,f,1,13,29,l,1,14,58,l,1,3,26,e,0,2,38,a,0
25576,8,1970,1,8,4,7,8,31,17,17,35,j,19,19,j,28,42,j,1,13,16,j,0,17,27,l,0,3,14,h,0,2,4,b,0,8,47,g,0,0,5,i,0,27,22,f,1,13,20,l,1,14,55,l,1,3,33,e,0,2,39,a,0
25577,9,1970,1,9,5,7,12,28,18,18,45,j,4,35,k,27,54,j,1,14,31,j,0,18,12,l,0,3,21,h,0,2,5,b,0,8,47,g,0,0,7,i,0,27,22,f,1,13,13,l,1,14,52,l,1,3,39,e,0,2,41,a,0
25578,10,1970,1,10,6,7,16,24,19,19,55,j,19,42,k,26,55,j,1,15,47,j,0,18,57,l,0,3,28,h,0,2,5,b,0,8,47,g,0,0,9,i,0,27,22,f,1,13,8,l,1,14,49,l,1,3,46,e,0,2,42,a,0
25579,11,1970,1,11,7,7,20,21,20,21,5,j,4,32,l,25,48,j,1,17,2,j,0,19,41,l,0,3,35,h,0,2,6,b,0,8,47,g,0,0,10,i,0,27,21,f,1,13,6,l,1,14,45,l,1,3,53,e,0,2,44,a,0
25580,12,1970,1,12,1,7,24,18,21,22,14,j,18,59,l,24,35,j,1,18,18,j,0,20,26,l,0,3,42,h,0,2,7,b,0,8,47,g,0,0,12,i,0,27,21,f,1,13,6,l,0,14,42,l,1,3,59,e,0,2,45,a,0
25581,13,1970,1,13,2,7,28,14,22,23,22,j,3,0,a,23,17,j,1,19,33,j,0,21,11,l,0,3,48,h,0,2,8,b,0,8,48,g,1,0,14,i,0,27,20,f,1,13,7,l,0,14,39,l,1,4,6,e,0,2,47,a,0
25582,14,1970,1,14,3,7,32,11,23,24,30,j,16,36,a,21,58,j,1,20,49,j,0,21,55,l,0,3,55,h,0,2,9,b,0,8,48,g,1,0,15,i,0,27,20,f,1,13,8,l,0,14,36,l,1,4,13,e,0,2,48,a,0
25583,15,1970,1,15,4,7,36,7,24,25,37,j,29,49,a,20,39,j,1,22,4,j,0,22,40,l,0,4,1,h,0,2,10,b,0,8,47,g,1,0,17,i,0,27,19,f,1,13,8,l,1,14,33,l,1,4,19,e,0,2,50,a,0
