1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
37986,365,2003,12,31,3,6,36,2,8,52,21,j,15,25,a,29,49,i,1,11,59,k,0,8,34,a,0,18,53,f,0,9,50,d,1,0,1,l,0,11,39,k,0,20,28,i,0,19,16,b,0,17,45,b,1,5,52,c,0,18,23,j,0
37987,1,2004,1,1,4,6,39,59,9,53,30,j,27,30,a,28,49,i,1,13,13,k,0,9,10,a,0,18,53,f,0,9,45,d,1,0,4,l,0,11,41,k,0,20,30,i,0,19,17,b,0,17,42,b,1,5,59,c,0,18,28,j,0
37988,2,2004,1,2,5,6,43,55,10,54,39,j,9,23,b,27,58,i,1,14,27,k,0,9,46,a,0,18,54,f,0,9,40,d,1,0,6,l,0,11,43,k,0,20,32,i,0,19,18,b,0,17,39,b,1,6,6,c,0,18,34,j,0
37989,3,2004,1,3,6,6,47,52,11,55,47,j,21,11,b,27,18,i,1,15,40,k,0,10,23,a,0,18,54,f,0,9,35,d,1,0,9,l,0,11,45,k,0,20,34,i,0,19,19,b,1,17,36,b,1,6,12,c,0,18,40,j,0
37990,4,2004,1,4,7,6,51,49,12,56,56,j,2,57,c,26,48,i,1,16,54,k,0,11,0,a,0,18,54,f,1,9,30,d,1,0,12,l,0,11,47,k,0,20,36,i,0,19,18,b,1,17,33,b,1,6,19,c,0,18,45,j,0
37991,5,2004,1,5,1,6,55,45,13,58,4,j,14,46,c,26,28,i,1,18,8,k,0,11,36,a,0,18,54,f,1,9,25,d,1,0,14,l,0,11,49,k,0,20,38,i,0,19,14,b,1,17,29,b,1,6,26,c,0,18,51,j,0
37992,6,2004,1,6,2,6,59,42,14,59,13,j,26,41,c,26,18,i,1,19,21,k,0,12,13,a,0,18,54,f,1,9,20,d,1,0,17,l,0,11,51,k,0,20,41,i,0,19,8,b,1,17,26,b,1,6,32,c,0,18,57,j,0
37993,7,2004,1,7,3,7,3,38,16,0,21,j,8,43,d,26,17,i,0,20,35,k,0,12,50,a,0,18,53,f,1,9,16,d,1,0,20,l,0,11,54,k,0,20,43,i,0,19,0,b,1,17,23,b,1,6,39,c,0,19,2,j,0
37994,8,2004,1,8,4,7,7,35,17,1,29,j,20,56,d,26,25,i,0,21,48,k,0,13,27,a,0,18,53,f,1,9,11,d,1,0,22,l,0,11,56,k,0,20,45,i,0,18,49,b,1,17,20,b,1,6,46,c,0,19,8,j,0
37995,9,2004,1,9,5,7,11,31,18,2,37,j,3,18,e,26,41,i,0,23,1,k,0,14,4,a,0,18,52,f,1,9,6,d,1,0,25,l,0,11,58,k,0,20,47,i,0,18,38,b,1,17,17,b,1,6,52,c,0,19,14,j,0
