1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
71589,365,2095,12,31,6,6,38,52,9,33,7,j,1,22,l,3,33,j,1,6,38,i,0,9,49,l,0,7,38,c,1,5,0,f,1,1,59,a,0,8,25,f,1,28,28,a,1,9,33,c,1,8,21,c,1,29,32,g,0,29,17,f,0
71590,1,2096,1,1,7,6,42,49,10,34,17,j,15,9,l,2,22,j,1,7,52,i,0,10,34,l,0,7,32,c,1,4,58,f,1,2,0,a,0,8,25,f,1,28,28,a,1,9,29,c,1,8,18,c,1,29,39,g,0,29,19,f,0
71591,2,2096,1,2,1,6,46,45,11,35,26,j,29,4,l,1,18,j,1,9,6,i,0,11,19,l,0,7,26,c,1,4,56,f,1,2,1,a,0,8,24,f,1,28,28,a,1,9,27,c,1,8,15,c,1,29,46,g,0,29,20,f,0
71592,3,2096,1,3,2,6,50,42,12,36,35,j,13,7,a,0,23,j,1,10,20,i,0,12,4,l,0,7,21,c,1,4,54,f,1,2,2,a,0,8,23,f,1,28,28,a,1,9,27,c,0,8,12,c,1,29,52,g,0,29,21,f,0
71593,4,2096,1,4,3,6,54,38,13,37,44,j,27,17,a,29,39,i,1,11,34,i,0,12,50,l,0,7,16,c,1,4,52,f,1,2,4,a,0,8,22,f,1,28,28,a,1,9,27,c,0,8,8,c,1,29,59,g,0,29,23,f,0
71594,5,2096,1,5,4,6,58,35,14,38,53,j,11,31,b,29,4,i,1,12,48,i,0,13,35,l,0,7,11,c,1,4,50,f,1,2,5,a,0,8,22,f,1,28,27,a,1,9,29,c,0,8,5,c,1,0,6,h,0,29,24,f,0
71595,6,2096,1,6,5,7,2,31,15,40,1,j,25,47,b,28,40,i,1,14,2,i,0,14,20,l,0,7,6,c,1,4,48,f,1,2,6,a,0,8,21,f,1,28,27,a,1,9,30,c,0,8,2,c,1,0,12,h,0,29,24,f,0
71596,7,2096,1,7,6,7,6,28,16,41,10,j,10,3,c,28,26,i,1,15,17,i,0,15,5,l,0,7,1,c,1,4,45,f,1,2,8,a,0,8,20,f,1,28,27,a,1,9,31,c,1,7,59,c,1,0,19,h,0,29,25,f,0
71597,8,2096,1,8,7,7,10,25,17,42,18,j,24,16,c,28,22,i,0,16,31,i,0,15,50,l,0,6,56,c,1,4,43,f,1,2,9,a,0,8,19,f,1,28,27,a,1,9,30,c,1,7,56,c,1,0,26,h,0,29,26,f,0
71598,9,2096,1,9,1,7,14,21,18,43,25,j,8,20,d,28,26,i,0,17,45,i,0,16,35,l,0,6,52,c,1,4,40,f,1,2,10,a,0,8,18,f,1,28,27,a,1,9,27,c,1,7,52,c,1,0,32,h,0,29,26,f,0
