1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
45291,365,2023,12,31,7,6,36,40,9,1,12,j,24,5,e,22,33,i,1,1,24,i,0,26,34,i,0,5,35,b,0,3,9,l,0,19,24,b,1,25,4,l,0,29,20,j,0,21,12,a,1,20,56,a,1,9,52,f,0,15,28,a,0
45292,1,2024,1,1,1,6,40,36,10,2,20,j,6,0,f,22,17,i,1,2,37,i,0,27,19,i,0,5,35,b,0,3,15,l,0,19,23,b,1,25,5,l,0,29,21,j,0,21,5,a,1,20,53,a,1,9,58,f,0,15,28,a,0
45293,2,2024,1,2,2,6,44,33,11,3,29,j,17,49,f,22,11,i,0,3,50,i,0,28,3,i,0,5,35,b,0,3,20,l,0,19,22,b,1,25,5,l,0,29,23,j,0,21,0,a,1,20,49,a,1,10,5,f,0,15,28,a,0
45294,3,2024,1,3,3,6,48,29,12,4,38,j,29,37,f,22,14,i,0,5,3,i,0,28,48,i,0,5,36,b,0,3,25,l,0,19,20,b,1,25,6,l,0,29,25,j,0,20,58,a,1,20,46,a,1,10,12,f,0,15,28,a,0
45295,4,2024,1,4,4,6,52,26,13,5,47,j,11,30,g,22,26,i,0,6,16,i,0,29,32,i,0,5,36,b,0,3,31,l,0,19,19,b,1,25,7,l,0,29,27,j,0,20,57,a,0,20,43,a,1,10,18,f,0,15,29,a,0
45296,5,2024,1,5,5,6,56,23,14,6,56,j,23,33,g,22,46,i,0,7,29,i,0,0,17,j,0,5,37,b,0,3,36,l,0,19,18,b,1,25,8,l,0,29,29,j,0,20,57,a,1,20,40,a,1,10,25,f,0,15,29,a,0
45297,6,2024,1,6,6,7,0,19,15,8,6,j,5,51,h,23,13,i,0,8,42,i,0,1,1,j,0,5,38,b,0,3,42,l,0,19,17,b,1,25,9,l,0,29,31,j,0,20,57,a,1,20,37,a,1,10,32,f,0,15,30,a,0
45298,7,2024,1,7,7,7,4,16,16,9,16,j,18,31,h,23,46,i,0,9,56,i,0,1,46,j,0,5,40,b,0,3,48,l,0,19,16,b,1,25,10,l,0,29,33,j,0,20,54,a,1,20,34,a,1,10,38,f,0,15,30,a,0
45299,8,2024,1,8,1,7,8,12,17,10,26,j,1,35,i,24,26,i,0,11,9,i,0,2,31,j,0,5,41,b,0,3,53,l,0,19,15,b,1,25,11,l,0,29,35,j,0,20,49,a,1,20,30,a,1,10,45,f,0,15,31,a,0
45300,9,2024,1,9,2,7,12,9,18,11,36,j,15,6,i,25,10,i,0,12,22,i,0,3,16,j,0,5,43,b,0,3,59,l,0,19,14,b,1,25,13,l,0,29,37,j,0,20,42,a,1,20,27,a,1,10,52,f,0,15,32,a,0
45301,10,2024,1,10,3,7,16,5,19,12,46,j,29,5,i,25,59,i,0,13,36,i,0,4,1,j,0,5,45,b,0,4,5,l,0,19,13,b,1,25,14,l,0,29,39,j,0,20,31,a,1,20,24,a,1,10,59,f,0,15,32,a,0
45302,11,2024,1,11,4,7,20,2,20,13,57,j,13,27,j,26,52,i,0,14,49,i,0,4,46,j,0,5,47,b,0,4,11,l,0,19,12,b,1,25,15,l,0,29,40,j,0,20,19,a,1,20,21,a,1,11,5,f,0,15,33,a,0
45303,12,2024,1,12,5,7,23,58,21,15,6,j,28,8,j,27,49,i,0,16,3,i,0,5,31,j,0,5,50,b,0,4,17,l,0,19,11,b,1,25,16,l,0,29,42,j,0,20,7,a,1,20,18,a,1,11,12,f,0,15,34,a,0
45304,13,2024,1,13,6,7,27,55,22,16,16,j,12,59,k,28,49,i,0,17,16,i,0,6,16,j,0,5,52,b,0,4,23,l,0,19,11,b,1,25,17,l,0,29,44,j,0,19,55,a,1,20,15,a,1,11,19,f,0,15,35,a,0
45305,14,2024,1,14,7,7,31,52,23,17,25,j,27,51,k,29,52,i,0,18,30,i,0,7,1,j,0,5,55,b,0,4,29,l,0,19,10,b,1,25,19,l,0,29,46,j,0,19,46,a,1,20,11,a,1,11,25,f,0,15,36,a,0
45306,15,2024,1,15,1,7,35,48,24,18,33,j,12,36,l,0,58,j,0,19,43,i,0,7,46,j,0,5,58,b,0,4,35,l,0,19,9,b,1,25,20,l,0,29,48,j,0,19,39,a,1,20,8,a,1,11,32,f,0,15,37,a,0
45307,16,2024,1,16,2,7,39,45,25,19,41,j,27,7,l,2,6,j,0,20,57,i,0,8,31,j,0,6,1,b,0,4,41,l,0,19,9,b,1,25,21,l,0,29,50,j,0,19,36,a,1,20,5,a,1,11,39,f,0,15,38,a,0
45308,17,2024,1,17,3,7,43,41,26,20,48,j,11,22,a,3,17,j,0,22,10,i,0,9,16,j,0,6,4,b,0,4,48,l,0,19,8,b,1,25,23,l,0,29,52,j,0,19,34,a,1,20,2,a,1,11,45,f,0,15,39,a,0
45309,18,2024,1,18,4,7,47,38,27,21,54,j,25,18,a,4,29,j,0,23,24,i,0,10,1,j,0,6,8,b,0,4,54,l,0,19,8,b,1,25,24,l,0,29,54,j,0,19,34,a,1,19,59,a,1,11,52,f,0,15,40,a,0
45310,19,2024,1,19,5,7,51,34,28,23,0,j,8,57,b,5,43,j,0,24,38,i,0,10,46,j,0,6,12,b,0,5,0,l,0,19,7,b,1,25,25,l,0,29,56,j,0,19,34,a,1,19,55,a,1,11,59,f,0,15,42,a,0
45311,20,2024,1,20,6,7,55,31,29,24,4,j,22,20,b,6,59,j,0,25,51,i,0,11,32,j,0,6,15,b,0,5,7,l,0,19,7,b,1,25,27,l,0,29,58,j,0,19,32,a,1,19,52,a,1,12,5,f,0,15,43,a,0
45312,21,2024,1,21,7,7,59,27,0,25,8,k,5,28,c,8,16,j,0,27,5,i,0,12,17,j,0,6,20,b,0,5,13,l,0,19,6,b,1,25,28,l,0,29,59,j,0,19,28,a,1,19,49,a,1,12,12,f,0,15,44,a,0
45313,22,2024,1,22,1,8,3,24,1,26,11,k,18,24,c,9,35,j,0,28,19,i,0,13,2,j,0,6,24,b,0,5,19,l,0,19,6,b,1,25,30,l,0,0,2,k,0,19,21,a,1,19,46,a,1,12,19,f,0,15,45,a,0
45314,23,2024,1,23,2,8,7,21,2,27,13,k,1,8,d,10,55,j,0,29,33,i,0,13,48,j,0,6,28,b,0,5,26,l,0,19,6,b,1,25,31,l,0,0,4,k,0,19,11,a,1,19,43,a,1,12,25,f,0,15,47,a,0
45315,24,2024,1,24,3,8,11,17,3,28,14,k,13,42,d,12,16,j,0,0,47,j,0,14,33,j,0,6,33,b,0,5,33,l,0,19,6,b,1,25,33,l,0,0,6,k,0,18,58,a,1,19,40,a,1,12,32,f,0,15,48,a,0
45316,25,2024,1,25,4,8,15,14,4,29,14,k,26,6,d,13,38,j,0,2,1,j,0,15,18,j,0,6,38,b,0,5,39,l,0,19,5,b,1,25,34,l,0,0,8,k,0,18,44,a,1,19,36,a,1,12,39,f,0,15,50,a,0
45317,26,2024,1,26,5,8,19,10,5,30,14,k,8,21,e,15,1,j,0,3,14,j,0,16,4,j,0,6,43,b,0,5,46,l,0,19,5,b,1,25,36,l,0,0,10,k,0,18,31,a,1,19,33,a,1,12,45,f,0,15,52,a,0
45318,27,2024,1,27,6,8,23,7,6,31,13,k,20,26,e,16,25,j,0,4,28,j,0,16,49,j,0,6,48,b,0,5,52,l,0,19,5,b,0,25,38,l,0,0,12,k,0,18,18,a,1,19,30,a,1,12,52,f,0,15,53,a,0
45319,28,2024,1,28,7,8,27,3,7,32,10,k,2,23,f,17,50,j,0,5,42,j,0,17,35,j,0,6,54,b,0,5,59,l,0,19,5,b,0,25,39,l,0,0,14,k,0,18,7,a,1,19,27,a,1,12,59,f,0,15,55,a,0
45320,29,2024,1,29,1,8,31,0,8,33,8,k,14,15,f,19,16,j,0,6,56,j,0,18,20,j,0,6,59,b,0,6,6,l,0,19,5,b,0,25,41,l,0,0,15,k,0,17,59,a,1,19,24,a,1,13,5,f,0,15,57,a,0
45321,30,2024,1,30,2,8,34,56,9,34,4,k,26,2,f,20,43,j,0,8,10,j,0,19,6,j,0,7,5,b,0,6,13,l,0,19,5,b,0,25,43,l,0,0,17,k,0,17,54,a,1,19,20,a,1,13,12,f,0,15,58,a,0
45322,31,2024,1,31,3,8,38,53,10,34,59,k,7,50,g,22,10,j,0,9,24,j,0,19,52,j,0,7,11,b,0,6,20,l,0,19,6,b,0,25,44,l,0,0,19,k,0,17,52,a,1,19,17,a,1,13,19,f,0,16,0,a,0
45323,32,2024,2,1,4,8,42,50,11,35,54,k,19,42,g,23,39,j,0,10,38,j,0,20,37,j,0,7,17,b,0,6,26,l,0,19,6,b,0,25,46,l,0,0,21,k,0,17,51,a,0,19,14,a,1,13,25,f,0,16,2,a,0
45324,33,2024,2,2,5,8,46,46,12,36,48,k,1,42,h,25,8,j,0,11,52,j,0,21,23,j,0,7,23,b,0,6,33,l,0,19,6,b,0,25,48,l,0,0,23,k,0,17,52,a,0,19,11,a,1,13,32,f,0,16,4,a,0
45325,34,2024,2,3,6,8,50,43,13,37,41,k,13,58,h,26,38,j,0,13,6,j,0,22,9,j,0,7,30,b,0,6,40,l,0,19,6,b,0,25,50,l,0,0,25,k,0,17,52,a,1,19,8,a,1,13,39,f,0,16,6,a,0
45326,35,2024,2,4,7,8,54,39,14,38,34,k,26,33,h,28,9,j,0,14,20,j,0,22,55,j,0,7,36,b,0,6,47,l,0,19,7,b,0,25,51,l,0,0,27,k,0,17,51,a,1,19,5,a,1,13,45,f,0,16,8,a,0
45327,36,2024,2,5,1,8,58,36,15,39,26,k,9,32,i,29,40,j,0,15,34,j,0,23,41,j,0,7,43,b,0,6,54,l,0,19,7,b,0,25,53,l,0,0,29,k,0,17,49,a,1,19,1,a,1,13,52,f,0,16,10,a,0
45328,37,2024,2,6,2,9,2,32,16,40,17,k,23,0,i,1,13,k,0,16,49,j,0,24,26,j,0,7,50,b,0,7,1,l,0,19,8,b,0,25,55,l,0,0,31,k,0,17,43,a,1,18,58,a,1,13,59,f,0,16,12,a,0
45329,38,2024,2,7,3,9,6,29,17,41,7,k,6,58,j,2,46,k,0,18,3,j,0,25,12,j,0,7,57,b,0,7,8,l,0,19,8,b,0,25,57,l,0,0,33,k,0,17,36,a,1,18,55,a,1,14,5,f,0,16,14,a,0
45330,39,2024,2,8,4,9,10,25,18,41,56,k,21,24,j,4,19,k,0,19,17,j,0,25,58,j,0,8,4,b,0,7,15,l,0,19,9,b,0,25,59,l,0,0,35,k,0,17,27,a,1,18,52,a,1,14,12,f,0,16,16,a,0
45331,40,2024,2,9,5,9,14,22,19,42,44,k,6,14,k,5,54,k,0,20,31,j,0,26,44,j,0,8,11,b,0,7,22,l,0,19,10,b,0,26,1,l,0,0,36,k,0,17,18,a,1,18,49,a,1,14,19,f,0,16,19,a,0
