1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
55153,365,2050,12,31,6,6,38,30,9,28,43,j,12,26,e,17,5,i,0,22,40,h,0,4,50,a,0,5,43,f,1,7,41,k,0,25,33,f,1,25,55,b,1,8,47,l,0,9,48,h,1,8,42,h,1,28,32,f,0,17,59,i,0
55154,1,2051,1,1,7,6,42,26,10,29,51,j,24,48,e,18,7,i,0,23,43,h,0,5,28,a,0,5,41,f,1,7,47,k,0,25,33,f,1,25,54,b,1,8,48,l,0,9,38,h,1,8,39,h,1,28,38,f,0,18,5,i,0
55155,2,2051,1,2,1,6,46,23,11,30,59,j,6,57,f,19,12,i,0,24,46,h,0,6,7,a,0,5,39,f,1,7,54,k,0,25,33,f,1,25,53,b,1,8,49,l,0,9,30,h,1,8,36,h,1,28,45,f,0,18,12,i,0
55156,3,2051,1,3,2,6,50,19,12,32,8,j,18,54,f,20,20,i,0,25,49,h,0,6,45,a,0,5,37,f,1,8,1,k,0,25,32,f,1,25,52,b,1,8,50,l,0,9,25,h,1,8,33,h,1,28,52,f,0,18,19,i,0
55157,4,2051,1,4,3,6,54,16,13,33,16,j,0,45,g,21,30,i,0,26,53,h,0,7,23,a,0,5,34,f,1,8,7,k,0,25,32,f,1,25,51,b,1,8,51,l,0,9,21,h,1,8,30,h,1,28,58,f,0,18,26,i,0
55158,5,2051,1,5,4,6,58,12,14,34,25,j,12,33,g,22,42,i,0,27,57,h,0,8,2,a,0,5,32,f,1,8,14,k,0,25,32,f,1,25,50,b,1,8,52,l,0,9,20,h,0,8,26,h,1,29,5,f,0,18,33,i,0
55159,6,2051,1,6,5,7,2,9,15,35,35,j,24,26,g,23,56,i,0,29,1,h,0,8,40,a,0,5,29,f,1,8,21,k,0,25,32,f,1,25,49,b,1,8,53,l,0,9,21,h,0,8,23,h,1,29,12,f,0,18,39,i,0
55160,7,2051,1,7,6,7,6,6,16,36,44,j,6,27,h,25,12,i,0,0,6,i,0,9,19,a,0,5,26,f,1,8,28,k,0,25,31,f,1,25,48,b,1,8,55,l,0,9,21,h,1,8,20,h,1,29,18,f,0,18,46,i,0
55161,8,2051,1,8,7,7,10,2,17,37,54,j,18,43,h,26,30,i,0,1,11,i,0,9,58,a,0,5,23,f,1,8,34,k,0,25,31,f,1,25,47,b,1,8,56,l,0,9,21,h,1,8,17,h,1,29,25,f,0,18,52,i,0
55162,9,2051,1,9,1,7,13,59,18,39,4,j,1,18,i,27,48,i,0,2,16,i,0,10,36,a,0,5,19,f,1,8,41,k,0,25,30,f,1,25,46,b,1,8,57,l,0,9,19,h,1,8,14,h,1,29,32,f,0,18,59,i,0
55163,10,2051,1,10,2,7,17,55,19,40,14,j,14,15,i,29,9,i,0,3,21,i,0,11,15,a,0,5,15,f,1,8,48,k,0,25,30,f,1,25,45,b,1,8,58,l,0,9,14,h,1,8,11,h,1,29,38,f,0,19,6,i,0
55164,11,2051,1,11,3,7,21,52,20,41,24,j,27,37,i,0,30,j,0,4,27,i,0,11,54,a,0,5,12,f,1,8,55,k,0,25,29,f,1,25,44,b,1,8,59,l,0,9,6,h,1,8,7,h,1,29,45,f,0,19,12,i,0
55165,12,2051,1,12,4,7,25,48,21,42,34,j,11,23,j,1,52,j,0,5,33,i,0,12,33,a,0,5,8,f,1,9,2,k,0,25,29,f,1,25,43,b,1,9,0,l,0,8,56,h,1,8,4,h,1,29,52,f,0,19,19,i,0
55166,13,2051,1,13,5,7,29,45,22,43,43,j,25,30,j,3,15,j,0,6,39,i,0,13,11,a,0,5,4,f,1,9,9,k,0,25,28,f,1,25,43,b,1,9,2,l,0,8,45,h,1,8,1,h,1,29,58,f,0,19,25,i,0
55167,14,2051,1,14,6,7,33,42,23,44,52,j,9,53,k,4,40,j,0,7,45,i,0,13,50,a,0,4,59,f,1,9,16,k,0,25,27,f,1,25,42,b,1,9,3,l,0,8,32,h,1,7,58,h,1,0,5,g,0,19,31,i,0
55168,15,2051,1,15,7,7,37,38,24,46,1,j,24,25,k,6,5,j,0,8,52,i,0,14,29,a,0,4,55,f,1,9,23,k,0,25,26,f,1,25,41,b,1,9,4,l,0,8,21,h,1,7,55,h,1,0,12,g,0,19,38,i,0
55169,16,2051,1,16,1,7,41,35,25,47,9,j,9,0,l,7,31,j,0,9,59,i,0,15,8,a,0,4,50,f,1,9,30,k,0,25,25,f,1,25,41,b,1,9,5,l,0,8,12,h,1,7,51,h,1,0,18,g,0,19,44,i,0
55170,17,2051,1,17,2,7,45,31,26,48,17,j,23,30,l,8,57,j,0,11,6,i,0,15,47,a,0,4,45,f,1,9,37,k,0,25,24,f,1,25,40,b,1,9,6,l,0,8,6,h,1,7,48,h,1,0,25,g,0,19,50,i,0
55171,18,2051,1,18,3,7,49,28,27,49,23,j,7,51,a,10,25,j,0,12,13,i,0,16,26,a,0,4,40,f,1,9,44,k,0,25,23,f,1,25,39,b,1,9,8,l,0,8,3,h,1,7,45,h,1,0,32,g,0,19,56,i,0
55172,19,2051,1,19,4,7,53,24,28,50,29,j,22,1,a,11,53,j,0,13,20,i,0,17,5,a,0,4,35,f,1,9,51,k,0,25,22,f,1,25,39,b,1,9,9,l,0,8,1,h,1,7,42,h,1,0,38,g,0,20,2,i,0
55173,20,2051,1,20,5,7,57,21,29,51,34,j,5,57,b,13,21,j,0,14,28,i,0,17,44,a,0,4,30,f,1,9,59,k,0,25,21,f,1,25,38,b,1,9,10,l,0,8,1,h,1,7,39,h,1,0,45,g,0,20,8,i,0
55174,21,2051,1,21,6,8,1,17,0,52,38,k,19,42,b,14,51,j,0,15,36,i,0,18,23,a,0,4,24,f,1,10,6,k,0,25,20,f,1,25,38,b,1,9,12,l,0,8,1,h,1,7,36,h,1,0,52,g,0,20,15,i,0
55175,22,2051,1,22,7,8,5,14,1,53,41,k,3,15,c,16,20,j,0,16,44,i,0,19,3,a,0,4,19,f,1,10,13,k,0,25,19,f,1,25,37,b,1,9,13,l,0,7,59,h,1,7,32,h,1,0,58,g,0,20,20,i,0
55176,23,2051,1,23,1,8,9,11,2,54,44,k,16,36,c,17,51,j,0,17,52,i,0,19,42,a,0,4,13,f,1,10,20,k,0,25,18,f,1,25,37,b,1,9,14,l,0,7,55,h,1,7,29,h,1,1,5,g,0,20,26,i,0
55177,24,2051,1,24,2,8,13,7,3,55,45,k,29,48,c,19,22,j,0,19,0,i,0,20,21,a,0,4,7,f,1,10,27,k,0,25,17,f,1,25,36,b,1,9,16,l,0,7,47,h,1,7,26,h,1,1,12,g,0,20,32,i,0
55178,25,2051,1,25,3,8,17,4,4,56,46,k,12,48,d,20,54,j,0,20,9,i,0,21,0,a,0,4,1,f,1,10,34,k,0,25,15,f,1,25,36,b,1,9,17,l,0,7,37,h,1,7,23,h,1,1,18,g,0,20,38,i,0
55179,26,2051,1,26,4,8,21,0,5,57,45,k,25,38,d,22,27,j,0,21,17,i,0,21,39,a,0,3,55,f,1,10,41,k,0,25,14,f,1,25,36,b,1,9,19,l,0,7,24,h,1,7,20,h,1,1,25,g,0,20,44,i,0
