1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
19724,365,1953,12,31,4,6,36,30,9,1,12,j,9,11,h,0,26,j,0,1,50,j,0,6,20,h,0,19,8,c,1,7,24,h,0,21,34,d,1,25,51,g,0,24,45,e,1,24,6,j,1,24,48,j,1,11,27,g,0,20,54,j,0
19725,1,1954,1,1,5,6,40,27,10,2,22,j,21,23,h,2,0,j,0,3,6,j,0,6,55,h,0,19,1,c,1,7,29,h,0,21,32,d,1,25,52,g,0,24,44,e,1,24,4,j,1,24,45,j,1,11,33,g,0,21,0,j,0
19726,2,1954,1,2,6,6,44,23,11,3,33,j,3,50,i,3,34,j,0,4,21,j,0,7,31,h,0,18,54,c,1,7,33,h,0,21,29,d,1,25,53,g,0,24,43,e,1,24,2,j,1,24,42,j,1,11,40,g,0,21,5,j,0
19727,3,1954,1,3,7,6,48,20,12,4,44,j,16,34,i,5,8,j,0,5,37,j,0,8,7,h,0,18,47,c,1,7,38,h,0,21,27,d,1,25,54,g,0,24,42,e,1,24,0,j,1,24,39,j,1,11,47,g,0,21,10,j,0
19728,4,1954,1,4,1,6,52,16,13,5,55,j,29,35,i,6,42,j,0,6,52,j,0,8,43,h,0,18,40,c,1,7,42,h,0,21,24,d,1,25,54,g,0,24,41,e,1,23,59,j,1,24,36,j,1,11,54,g,0,21,16,j,0
19729,5,1954,1,5,2,6,56,13,14,7,6,j,12,54,j,8,17,j,0,8,8,j,0,9,18,h,0,18,33,c,1,7,46,h,0,21,21,d,1,25,55,g,0,24,40,e,1,23,58,j,1,24,32,j,1,12,0,g,0,21,21,j,0
19730,6,1954,1,6,3,7,0,9,15,8,16,j,26,29,j,9,52,j,0,9,23,j,0,9,54,h,0,18,27,c,1,7,50,h,0,21,19,d,1,25,56,g,0,24,39,e,1,23,58,j,0,24,29,j,1,12,7,g,0,21,27,j,0
19731,7,1954,1,7,4,7,4,6,16,9,27,j,10,18,k,11,28,j,0,10,39,j,0,10,30,h,0,18,20,c,1,7,55,h,0,21,16,d,1,25,57,g,0,24,38,e,1,23,58,j,0,24,26,j,1,12,14,g,0,21,32,j,0
19732,8,1954,1,8,5,7,8,2,17,10,37,j,24,18,k,13,3,j,0,11,54,j,0,11,5,h,0,18,14,c,1,7,59,h,0,21,14,d,1,25,57,g,0,24,36,e,1,23,59,j,0,24,23,j,1,12,21,g,0,21,38,j,0
19733,9,1954,1,9,6,7,11,59,18,11,47,j,8,25,l,14,40,j,0,13,10,j,0,11,41,h,0,18,8,c,1,8,3,h,0,21,11,d,1,25,58,g,0,24,35,e,1,24,0,j,0,24,20,j,1,12,27,g,0,21,44,j,0
19734,10,1954,1,10,7,7,15,56,19,12,56,j,22,37,l,16,17,j,0,14,25,j,0,12,16,h,0,18,2,c,1,8,6,h,0,21,9,d,1,25,59,g,0,24,34,e,1,24,0,j,0,24,17,j,1,12,34,g,0,21,49,j,0
19735,11,1954,1,11,1,7,19,52,20,14,5,j,6,51,a,17,54,j,0,15,41,j,0,12,51,h,0,17,56,c,1,8,10,h,0,21,6,d,1,25,59,g,0,24,33,e,1,24,0,j,0,24,13,j,1,12,41,g,0,21,55,j,0
19736,12,1954,1,12,2,7,23,49,21,15,13,j,21,3,a,19,31,j,0,16,56,j,0,13,27,h,0,17,50,c,1,8,14,h,0,21,3,d,1,26,0,g,0,24,32,e,1,24,1,j,1,24,10,j,1,12,47,g,0,22,0,j,0
