1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
62093,365,2069,12,31,2,6,40,4,9,52,16,j,19,16,e,23,40,i,1,0,24,j,1,1,15,c,1,17,21,l,0,18,49,g,0,20,34,i,0,9,34,d,1,1,22,a,0,2,8,h,1,1,12,h,1,21,28,h,0,0,44,a,0
62094,1,2070,1,1,3,6,44,0,10,53,24,j,2,44,f,23,22,i,1,29,53,i,1,1,12,c,1,17,31,l,0,18,52,g,0,20,37,i,0,9,33,d,1,1,22,a,0,2,0,h,1,1,9,h,1,21,35,h,0,0,45,a,0
62095,2,2070,1,2,4,6,47,57,11,54,32,j,15,45,f,23,14,i,0,29,23,i,1,1,9,c,1,17,40,l,0,18,55,g,0,20,41,i,0,9,31,d,1,1,22,a,0,1,55,h,1,1,6,h,1,21,42,h,0,0,46,a,0
62096,3,2070,1,3,5,6,51,54,12,55,40,j,28,20,f,23,16,i,0,28,55,i,1,1,8,c,1,17,50,l,0,18,57,g,0,20,44,i,0,9,29,d,1,1,23,a,0,1,51,h,1,1,3,h,1,21,48,h,0,0,47,a,0
62097,4,2070,1,4,6,6,55,50,13,56,49,j,10,36,g,23,26,i,0,28,28,i,1,1,7,c,0,18,0,l,0,19,0,g,0,20,48,i,0,9,28,d,1,1,23,a,0,1,50,h,0,1,0,h,1,21,55,h,0,0,48,a,0
62098,5,2070,1,5,7,6,59,47,14,57,57,j,22,36,g,23,44,i,0,28,4,i,1,1,7,c,0,18,10,l,0,19,2,g,0,20,51,i,0,9,26,d,1,1,24,a,0,1,51,h,0,0,56,h,1,22,2,h,0,0,50,a,0
62099,6,2070,1,6,1,7,3,43,15,59,7,j,4,27,h,24,9,i,0,27,43,i,1,1,8,c,0,18,20,l,0,19,5,g,0,20,54,i,0,9,24,d,1,1,24,a,0,1,51,h,1,0,53,h,1,22,8,h,0,0,51,a,0
62100,7,2070,1,7,2,7,7,40,17,0,16,j,16,13,h,24,41,i,0,27,23,i,1,1,10,c,0,18,31,l,0,19,7,g,0,20,58,i,0,9,23,d,1,1,25,a,0,1,50,h,1,0,50,h,1,22,15,h,0,0,53,a,0
62101,8,2070,1,8,3,7,11,36,18,1,26,j,28,1,h,25,19,i,0,27,6,i,1,1,12,c,0,18,41,l,0,19,9,g,0,21,1,i,0,9,21,d,1,1,25,a,0,1,47,h,1,0,47,h,1,22,22,h,0,0,54,a,0
62102,9,2070,1,9,4,7,15,33,19,2,36,j,9,54,i,26,3,i,0,26,51,i,1,1,16,c,0,18,51,l,0,19,11,g,0,21,5,i,0,9,19,d,1,1,26,a,0,1,41,h,1,0,44,h,1,22,28,h,0,0,56,a,0
