1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
15706,365,1942,12,31,4,6,35,9,8,40,26,j,11,21,g,25,8,j,0,19,26,j,0,10,46,i,0,21,42,d,1,6,50,c,1,1,13,c,1,2,3,g,0,6,42,e,1,26,5,e,1,27,34,e,1,13,59,d,0,29,6,e,1
15707,1,1943,1,1,5,6,39,6,9,41,35,j,24,33,g,26,37,j,0,20,41,j,0,11,29,i,0,21,34,d,1,6,46,c,1,1,11,c,1,2,4,g,0,6,40,e,1,26,4,e,1,27,31,e,1,14,6,d,0,29,4,e,1
15708,2,1943,1,2,6,6,43,2,10,42,45,j,8,14,h,28,5,j,0,21,56,j,0,12,12,i,0,21,26,d,1,6,43,c,1,1,9,c,1,2,4,g,0,6,39,e,1,26,1,e,1,27,28,e,1,14,13,d,0,29,2,e,1
15709,3,1943,1,3,7,6,46,59,11,43,56,j,22,24,h,29,30,j,0,23,12,j,0,12,54,i,0,21,18,d,1,6,39,c,1,1,7,c,1,2,4,g,0,6,38,e,1,25,56,e,1,27,24,e,1,14,19,d,0,29,0,e,1
15710,4,1943,1,4,1,6,50,55,12,45,6,j,7,2,i,0,54,k,0,24,27,j,0,13,37,i,0,21,10,d,1,6,35,c,1,1,5,c,1,2,4,g,1,6,37,e,1,25,49,e,1,27,21,e,1,14,26,d,0,28,58,e,1
15711,5,1943,1,5,2,6,54,52,13,46,17,j,22,2,i,2,14,k,0,25,42,j,0,14,20,i,0,21,2,d,1,6,32,c,1,1,4,c,1,2,4,g,1,6,35,e,1,25,42,e,1,27,18,e,1,14,33,d,0,28,55,e,1
15712,6,1943,1,6,3,6,58,48,14,47,28,j,7,16,j,3,32,k,0,26,58,j,0,15,2,i,0,20,54,d,1,6,29,c,1,1,2,c,1,2,4,g,1,6,34,e,1,25,36,e,1,27,15,e,1,14,39,d,0,28,53,e,1
15713,7,1943,1,7,4,7,2,45,15,48,39,j,22,35,j,4,45,k,0,28,13,j,0,15,45,i,0,20,46,d,1,6,25,c,1,1,1,c,1,2,4,g,1,6,33,e,1,25,31,e,1,27,12,e,1,14,46,d,0,28,50,e,1
15714,8,1943,1,8,5,7,6,41,16,49,50,j,7,45,k,5,54,k,0,29,28,j,0,16,28,i,0,20,38,d,1,6,22,c,1,0,59,c,1,2,3,g,1,6,32,e,1,25,28,e,1,27,9,e,1,14,53,d,0,28,48,e,1
15715,9,1943,1,9,6,7,10,38,17,51,0,j,22,40,k,6,58,k,0,0,44,k,0,17,11,i,0,20,30,d,1,6,19,c,1,0,58,c,1,2,3,g,1,6,30,e,1,25,27,e,0,27,5,e,1,14,59,d,0,28,45,e,1
15716,10,1943,1,10,7,7,14,35,18,52,10,j,7,11,l,7,56,k,0,1,59,k,0,17,54,i,0,20,22,d,1,6,16,c,1,0,56,c,1,2,3,g,1,6,29,e,1,25,27,e,0,27,2,e,1,15,6,d,0,28,42,e,1
15717,11,1943,1,11,1,7,18,31,19,53,20,j,21,15,l,8,47,k,0,3,14,k,0,18,37,i,0,20,14,d,1,6,13,c,1,0,55,c,1,2,3,g,1,6,28,e,1,25,28,e,0,26,59,e,1,15,13,d,0,28,39,e,1
15718,12,1943,1,12,2,7,22,28,20,54,28,j,4,52,a,9,31,k,0,4,30,k,0,19,20,i,0,20,6,d,1,6,11,c,1,0,53,c,1,2,3,g,1,6,27,e,1,25,30,e,0,26,56,e,1,15,19,d,0,28,36,e,1
15719,13,1943,1,13,3,7,26,24,21,55,36,j,18,3,a,10,6,k,0,5,45,k,0,20,3,i,0,19,58,d,1,6,8,c,1,0,52,c,1,2,2,g,1,6,25,e,1,25,31,e,1,26,53,e,1,15,26,d,0,28,33,e,1
15720,14,1943,1,14,4,7,30,21,22,56,44,j,0,52,b,10,31,k,0,7,0,k,0,20,46,i,0,19,50,d,1,6,5,c,1,0,51,c,1,2,2,g,1,6,24,e,1,25,31,e,1,26,50,e,1,15,33,d,0,28,30,e,1
15721,15,1943,1,15,5,7,34,17,23,57,51,j,13,22,b,10,46,k,0,8,15,k,0,21,29,i,0,19,42,d,1,6,3,c,1,0,49,c,1,2,2,g,1,6,23,e,1,25,29,e,1,26,46,e,1,15,39,d,0,28,27,e,1
15722,16,1943,1,16,6,7,38,14,24,58,57,j,25,38,b,10,50,k,1,9,31,k,0,22,12,i,0,19,34,d,1,6,1,c,1,0,48,c,1,2,1,g,1,6,21,e,1,25,26,e,1,26,43,e,1,15,46,d,0,28,24,e,1
15723,17,1943,1,17,7,7,42,10,26,0,2,j,7,43,c,10,43,k,1,10,46,k,0,22,55,i,0,19,26,d,1,5,58,c,1,0,47,c,1,2,1,g,1,6,20,e,1,25,21,e,1,26,40,e,1,15,53,d,0,28,20,e,1
15724,18,1943,1,18,1,7,46,7,27,1,7,j,19,40,c,10,24,k,1,12,1,k,0,23,38,i,0,19,18,d,1,5,56,c,1,0,46,c,1,2,0,g,1,6,19,e,1,25,16,e,1,26,37,e,1,15,59,d,0,28,17,e,1
15725,19,1943,1,19,2,7,50,4,28,2,11,j,1,32,d,9,53,k,1,13,16,k,0,24,22,i,0,19,10,d,1,5,54,c,1,0,45,c,1,2,0,g,1,6,17,e,1,25,11,e,1,26,34,e,1,16,6,d,0,28,13,e,1
15726,20,1943,1,20,3,7,54,0,29,3,15,j,13,22,d,9,11,k,1,14,31,k,0,25,5,i,0,19,2,d,1,5,52,c,1,0,44,c,1,1,59,g,1,6,16,e,1,25,6,e,1,26,30,e,1,16,13,d,0,28,10,e,1
