1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
58075,365,2058,12,31,2,6,38,43,9,31,51,j,22,23,d,28,15,i,0,22,48,h,0,16,14,f,0,15,6,a,0,12,52,b,1,2,56,h,0,14,16,c,1,18,40,l,0,5,33,c,1,3,58,c,1,23,53,e,0,16,36,k,0
58076,1,2059,1,1,3,6,42,39,10,32,58,j,4,26,e,29,47,i,0,23,51,h,0,16,25,f,0,15,11,a,0,12,51,b,1,2,58,h,0,14,15,c,1,18,41,l,0,5,27,c,1,3,55,c,1,24,0,e,0,16,40,k,0
58077,2,2059,1,2,4,6,46,36,11,34,6,j,16,23,e,1,19,j,0,24,55,h,0,16,37,f,0,15,15,a,0,12,49,b,1,3,0,h,0,14,13,c,1,18,42,l,0,5,20,c,1,3,52,c,1,24,7,e,0,16,44,k,0
58078,3,2059,1,3,5,6,50,33,12,35,14,j,28,16,e,2,52,j,0,25,59,h,0,16,47,f,0,15,20,a,0,12,48,b,1,3,2,h,0,14,12,c,1,18,43,l,0,5,13,c,1,3,48,c,1,24,13,e,0,16,48,k,0
58079,4,2059,1,4,6,6,54,29,13,36,23,j,10,7,f,4,25,j,0,27,4,h,0,16,57,f,0,15,25,a,0,12,47,b,1,3,4,h,0,14,10,c,1,18,43,l,0,5,7,c,1,3,45,c,1,24,20,e,0,16,52,k,0
58080,5,2059,1,5,7,6,58,26,14,37,31,j,22,0,f,5,58,j,0,28,9,h,0,17,7,f,0,15,31,a,0,12,46,b,1,3,6,h,0,14,9,c,1,18,44,l,0,5,2,c,1,3,42,c,1,24,27,e,0,16,56,k,0
58081,6,2059,1,6,1,7,2,22,15,38,40,j,3,59,g,7,32,j,0,29,14,h,0,17,16,f,0,15,36,a,0,12,45,b,1,3,8,h,0,14,8,c,1,18,45,l,0,5,0,c,1,3,39,c,1,24,33,e,0,17,0,k,0
58082,7,2059,1,7,2,7,6,19,16,39,49,j,16,8,g,9,6,j,0,0,19,i,0,17,24,f,0,15,42,a,0,12,44,b,1,3,9,h,0,14,6,c,1,18,46,l,0,4,59,c,0,3,36,c,1,24,40,e,0,17,4,k,0
58083,8,2059,1,8,3,7,10,15,17,40,58,j,28,33,g,10,40,j,0,1,24,i,0,17,31,f,0,15,47,a,0,12,43,b,1,3,11,h,0,14,5,c,1,18,47,l,0,4,59,c,0,3,33,c,1,24,47,e,0,17,8,k,0
58084,9,2059,1,9,4,7,14,12,18,42,7,j,11,17,h,12,15,j,0,2,30,i,0,17,38,f,0,15,53,a,0,12,43,b,1,3,12,h,0,14,3,c,1,18,48,l,0,5,1,c,0,3,29,c,1,24,54,e,0,17,12,k,0
