1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
58806,366,2060,12,31,5,6,40,45,10,3,42,j,17,53,a,22,45,j,0,22,28,i,0,8,38,g,0,29,39,c,1,11,58,c,1,11,57,h,0,18,52,c,1,21,4,l,0,26,3,a,0,25,16,a,1,15,17,h,0,26,12,k,0
58807,1,2061,1,1,6,6,44,42,11,4,51,j,2,1,b,24,21,j,0,23,44,i,0,9,3,g,0,29,31,c,1,11,54,c,1,11,59,h,0,18,51,c,1,21,4,l,0,26,3,a,1,25,12,a,1,15,24,h,0,26,15,k,0
58808,2,2061,1,2,7,6,48,38,12,5,59,j,16,23,b,25,56,j,0,24,59,i,0,9,28,g,0,29,24,c,1,11,50,c,1,12,1,h,0,18,49,c,1,21,5,l,0,26,1,a,1,25,9,a,1,15,31,h,0,26,18,k,0
58809,3,2061,1,3,1,6,52,35,13,7,7,j,0,56,c,27,31,j,0,26,14,i,0,9,53,g,0,29,16,c,1,11,46,c,1,12,4,h,0,18,48,c,1,21,6,l,0,25,58,a,1,25,6,a,1,15,37,h,0,26,22,k,0
58810,4,2061,1,4,2,6,56,32,14,8,16,j,15,36,c,29,5,j,0,27,29,i,0,10,17,g,0,29,8,c,1,11,43,c,1,12,6,h,0,18,46,c,1,21,7,l,0,25,51,a,1,25,3,a,1,15,44,h,0,26,25,k,0
58811,5,2061,1,5,3,7,0,28,15,9,24,j,0,16,d,0,38,k,0,28,45,i,0,10,41,g,0,29,1,c,1,11,39,c,1,12,8,h,0,18,45,c,1,21,7,l,0,25,41,a,1,25,0,a,1,15,51,h,0,26,28,k,0
58812,6,2061,1,6,4,7,4,25,16,10,31,j,14,49,d,2,11,k,0,29,59,i,0,11,5,g,0,28,53,c,1,11,35,c,1,12,10,h,0,18,43,c,1,21,8,l,0,25,30,a,1,24,57,a,1,15,57,h,0,26,32,k,0
58813,7,2061,1,7,5,7,8,21,17,11,39,j,29,8,d,3,41,k,0,1,15,j,0,11,29,g,0,28,46,c,1,11,32,c,1,12,12,h,0,18,42,c,1,21,9,l,0,25,17,a,1,24,53,a,1,16,4,h,0,26,35,k,0
58814,8,2061,1,8,6,7,12,18,18,12,47,j,13,6,e,5,11,k,0,2,31,j,0,11,52,g,0,28,38,c,1,11,28,c,1,12,14,h,0,18,40,c,1,21,10,l,0,25,5,a,1,24,50,a,1,16,11,h,0,26,39,k,0
58815,9,2061,1,9,7,7,16,14,19,13,54,j,26,40,e,6,38,k,0,3,46,j,0,12,15,g,0,28,31,c,1,11,25,c,1,12,16,h,0,18,39,c,1,21,10,l,0,24,55,a,1,24,47,a,1,16,17,h,0,26,42,k,0
58816,10,2061,1,10,1,7,20,11,20,15,2,j,9,48,f,8,3,k,0,5,1,j,0,12,38,g,0,28,24,c,1,11,22,c,1,12,18,h,0,18,38,c,1,21,11,l,0,24,47,a,1,24,44,a,1,16,24,h,0,26,46,k,0
58817,11,2061,1,11,2,7,24,8,21,16,9,j,22,31,f,9,25,k,0,6,16,j,0,13,0,g,0,28,17,c,1,11,19,c,1,12,20,h,0,18,36,c,1,21,12,l,0,24,42,a,1,24,41,a,1,16,30,h,0,26,49,k,0
58818,12,2061,1,12,3,7,28,4,22,17,17,j,4,53,g,10,44,k,0,7,32,j,0,13,22,g,0,28,10,c,1,11,15,c,1,12,22,h,0,18,35,c,1,21,13,l,0,24,39,a,1,24,37,a,1,16,37,h,0,26,53,k,0
58819,13,2061,1,13,4,7,32,1,23,18,24,j,16,58,g,11,59,k,0,8,47,j,0,13,44,g,0,28,4,c,1,11,12,c,1,12,24,h,0,18,33,c,1,21,14,l,0,24,39,a,1,24,34,a,1,16,44,h,0,26,57,k,0
58820,14,2061,1,14,5,7,35,57,24,19,31,j,28,51,g,13,9,k,0,10,2,j,0,14,5,g,0,27,57,c,1,11,10,c,1,12,26,h,0,18,32,c,1,21,15,l,0,24,39,a,1,24,31,a,1,16,50,h,0,27,0,k,0
58821,15,2061,1,15,6,7,39,54,25,20,38,j,10,39,h,14,14,k,0,11,18,j,0,14,27,g,0,27,51,c,1,11,7,c,1,12,27,h,0,18,31,c,1,21,16,l,0,24,38,a,1,24,28,a,1,16,57,h,0,27,4,k,0
58822,16,2061,1,16,7,7,43,50,26,21,45,j,22,27,h,15,12,k,0,12,33,j,0,14,47,g,0,27,44,c,1,11,4,c,1,12,29,h,0,18,30,c,1,21,17,l,0,24,36,a,1,24,25,a,1,17,4,h,0,27,8,k,0
58823,17,2061,1,17,1,7,47,47,27,22,52,j,4,20,i,16,4,k,0,13,48,j,0,15,8,g,0,27,38,c,1,11,1,c,1,12,31,h,0,18,28,c,1,21,18,l,0,24,31,a,1,24,22,a,1,17,10,h,0,27,11,k,0
58824,18,2061,1,18,2,7,51,43,28,23,59,j,16,21,i,16,48,k,0,15,4,j,0,15,28,g,0,27,32,c,1,10,59,c,1,12,32,h,0,18,27,c,1,21,19,l,0,24,24,a,1,24,18,a,1,17,17,h,0,27,15,k,0
58825,19,2061,1,19,3,7,55,40,29,25,5,j,28,36,i,17,23,k,0,16,19,j,0,15,47,g,0,27,26,c,1,10,56,c,1,12,34,h,0,18,26,c,1,21,20,l,0,24,14,a,1,24,15,a,1,17,24,h,0,27,19,k,0
58826,20,2061,1,20,4,7,59,37,0,26,11,k,11,6,j,17,49,k,0,17,34,j,0,16,6,g,0,27,20,c,1,10,54,c,1,12,35,h,0,18,25,c,1,21,21,l,0,24,1,a,1,24,12,a,1,17,30,h,0,27,23,k,0
58827,21,2061,1,21,5,8,3,33,1,27,16,k,23,51,j,18,4,k,0,18,50,j,0,16,25,g,0,27,15,c,1,10,52,c,1,12,37,h,0,18,24,c,1,21,22,l,0,23,48,a,1,24,9,a,1,17,37,h,0,27,27,k,0
58828,22,2061,1,22,6,8,7,30,2,28,21,k,6,52,k,18,8,k,1,20,5,j,0,16,44,g,0,27,9,c,1,10,50,c,1,12,38,h,0,18,22,c,1,21,23,l,0,23,34,a,1,24,6,a,1,17,44,h,0,27,31,k,0
58829,23,2061,1,23,7,8,11,26,3,29,25,k,20,6,k,18,1,k,1,21,20,j,0,17,2,g,0,27,4,c,1,10,48,c,1,12,39,h,0,18,21,c,1,21,24,l,0,23,21,a,1,24,3,a,1,17,50,h,0,27,34,k,0
58830,24,2061,1,24,1,8,15,23,4,30,28,k,3,33,l,17,42,k,1,22,35,j,0,17,19,g,0,26,59,c,1,10,46,c,1,12,41,h,0,18,20,c,1,21,25,l,0,23,11,a,1,23,59,a,1,17,57,h,0,27,38,k,0
58831,25,2061,1,25,2,8,19,19,5,31,30,k,17,10,l,17,12,k,1,23,51,j,0,17,36,g,0,26,54,c,1,10,44,c,1,12,42,h,0,18,19,c,1,21,27,l,0,23,3,a,1,23,56,a,1,18,4,h,0,27,42,k,0
58832,26,2061,1,26,3,8,23,16,6,32,31,k,0,55,a,16,31,k,1,25,6,j,0,17,53,g,0,26,49,c,1,10,42,c,1,12,43,h,0,18,18,c,1,21,28,l,0,22,59,a,1,23,53,a,1,18,10,h,0,27,46,k,0
58833,27,2061,1,27,4,8,27,12,7,33,31,k,14,46,a,15,39,k,1,26,21,j,0,18,10,g,0,26,45,c,1,10,41,c,1,12,44,h,0,18,17,c,1,21,29,l,0,22,57,a,1,23,50,a,1,18,17,h,0,27,50,k,0
58834,28,2061,1,28,5,8,31,9,8,34,30,k,28,43,a,14,40,k,1,27,37,j,0,18,25,g,0,26,40,c,1,10,39,c,1,12,45,h,0,18,16,c,1,21,30,l,0,22,57,a,0,23,47,a,1,18,24,h,0,27,54,k,0
58835,29,2061,1,29,6,8,35,6,9,35,28,k,12,46,b,13,33,k,1,28,52,j,0,18,41,g,0,26,36,c,1,10,38,c,1,12,46,h,0,18,15,c,1,21,31,l,0,22,57,a,1,23,43,a,1,18,30,h,0,27,58,k,0
58836,30,2061,1,30,7,8,39,2,10,36,24,k,26,54,b,12,22,k,1,0,7,k,0,18,56,g,0,26,32,c,1,10,36,c,1,12,47,h,0,18,14,c,1,21,33,l,0,22,56,a,1,23,40,a,1,18,37,h,0,28,2,k,0
58837,31,2061,1,31,1,8,42,59,11,37,20,k,11,6,c,11,8,k,1,1,22,k,0,19,10,g,0,26,28,c,1,10,35,c,1,12,48,h,0,18,14,c,1,21,34,l,0,22,53,a,1,23,37,a,1,18,44,h,0,28,6,k,0
58838,32,2061,2,1,2,8,46,55,12,38,14,k,25,19,c,9,53,k,1,2,38,k,0,19,24,g,0,26,25,c,1,10,34,c,1,12,49,h,0,18,13,c,1,21,35,l,0,22,47,a,1,23,34,a,1,18,50,h,0,28,10,k,0
58839,33,2061,2,2,3,8,50,52,13,39,7,k,9,31,d,8,40,k,1,3,53,k,0,19,37,g,0,26,21,c,1,10,33,c,1,12,50,h,0,18,12,c,1,21,36,l,0,22,39,a,1,23,31,a,1,18,57,h,0,28,14,k,0
58840,34,2061,2,3,4,8,54,48,14,39,58,k,23,37,d,7,30,k,1,5,8,k,0,19,50,g,0,26,18,c,1,10,33,c,1,12,50,h,0,18,11,c,1,21,38,l,0,22,28,a,1,23,28,a,1,19,4,h,0,28,19,k,0
58841,35,2061,2,4,5,8,58,45,15,40,49,k,7,32,e,6,25,k,1,6,23,k,0,20,3,g,0,26,15,c,1,10,32,c,1,12,51,h,0,18,10,c,1,21,39,l,0,22,17,a,1,23,24,a,1,19,10,h,0,28,23,k,0
