1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
4018,365,1910,12,31,6,6,34,10,8,26,34,j,0,53,j,26,13,j,0,16,44,j,0,7,20,i,0,9,22,h,0,29,42,a,1,24,19,j,0,20,30,d,1,26,42,c,1,18,14,b,1,16,29,b,1,1,43,i,0,29,11,k,0
4019,1,1911,1,1,7,6,38,6,9,27,45,j,13,1,j,26,22,j,1,17,59,j,0,8,2,i,0,9,31,h,0,29,42,a,1,24,23,j,0,20,28,d,1,26,41,c,1,18,5,b,1,16,26,b,1,1,50,i,0,29,14,k,0
4020,2,1911,1,2,1,6,42,3,10,28,56,j,25,19,j,26,20,j,1,19,15,j,0,8,44,i,0,9,41,h,0,29,42,a,0,24,26,j,0,20,27,d,1,26,40,c,1,17,55,b,1,16,23,b,1,1,57,i,0,29,17,k,0
4021,3,1911,1,3,2,6,45,59,11,30,7,j,7,48,k,26,7,j,1,20,30,j,0,9,26,i,0,9,50,h,0,29,42,a,0,24,30,j,0,20,25,d,1,26,38,c,1,17,44,b,1,16,20,b,1,2,3,i,0,29,20,k,0
4022,4,1911,1,4,3,6,49,56,12,31,17,j,20,28,k,25,42,j,1,21,46,j,0,10,8,i,0,9,59,h,0,29,42,a,0,24,33,j,0,20,23,d,1,26,37,c,1,17,34,b,1,16,17,b,1,2,10,i,0,29,23,k,0
4023,5,1911,1,5,4,6,53,53,13,32,28,j,3,19,l,25,5,j,1,23,1,j,0,10,51,i,0,10,8,h,0,29,42,a,0,24,37,j,0,20,22,d,1,26,36,c,1,17,26,b,1,16,14,b,1,2,17,i,0,29,26,k,0
4024,6,1911,1,6,5,6,57,49,14,33,38,j,16,24,l,24,17,j,1,24,16,j,0,11,33,i,0,10,17,h,0,29,42,a,0,24,40,j,0,20,20,d,1,26,35,c,1,17,20,b,1,16,10,b,1,2,23,i,0,29,29,k,0
4025,7,1911,1,7,6,7,1,46,15,34,47,j,29,42,l,23,18,j,1,25,32,j,0,12,15,i,0,10,25,h,0,29,43,a,0,24,44,j,0,20,18,d,1,26,34,c,1,17,16,b,1,16,7,b,1,2,30,i,0,29,32,k,0
4026,8,1911,1,8,7,7,5,42,16,35,57,j,13,15,a,22,11,j,1,26,47,j,0,12,58,i,0,10,34,h,0,29,43,a,0,24,47,j,0,20,17,d,1,26,33,c,1,17,15,b,0,16,4,b,1,2,37,i,0,29,35,k,0
4027,9,1911,1,9,1,7,9,39,17,37,5,j,27,4,a,20,57,j,1,28,2,j,0,13,40,i,0,10,42,h,0,29,44,a,0,24,51,j,0,20,15,d,1,26,32,c,1,17,15,b,0,16,1,b,1,2,43,i,0,29,39,k,0
