1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
52962,366,2044,12,31,6,6,40,17,9,56,46,j,22,17,b,20,37,i,0,21,9,i,0,7,45,k,0,10,14,k,0,7,0,i,0,26,30,e,1,12,11,b,1,0,56,l,0,3,19,l,1,4,44,l,1,24,26,j,0,19,1,f,0
52963,1,2045,1,1,7,6,44,13,10,57,54,j,6,46,c,22,0,i,0,22,24,i,0,8,32,k,0,10,27,k,0,7,6,i,0,26,29,e,1,12,10,b,1,0,57,l,0,3,11,l,1,4,40,l,1,24,33,j,0,19,1,f,0
52964,2,2045,1,2,1,6,48,10,11,59,2,j,21,40,c,23,24,i,0,23,39,i,0,9,19,k,0,10,41,k,0,7,12,i,0,26,27,e,1,12,9,b,1,0,58,l,0,3,3,l,1,4,37,l,1,24,40,j,0,19,1,f,1
52965,3,2045,1,3,2,6,52,6,13,0,10,j,6,51,d,24,49,i,0,24,55,i,0,10,6,k,0,10,54,k,0,7,19,i,0,26,26,e,1,12,9,b,1,1,0,l,0,2,55,l,1,4,34,l,1,24,46,j,0,19,1,f,1
52966,4,2045,1,4,3,6,56,3,14,1,18,j,22,9,d,26,15,i,0,26,10,i,0,10,53,k,0,11,7,k,0,7,25,i,0,26,24,e,1,12,8,b,1,1,1,l,0,2,48,l,1,4,31,l,1,24,53,j,0,19,1,f,1
52967,5,2045,1,5,4,7,0,0,15,2,27,j,7,23,e,27,41,i,0,27,25,i,0,11,41,k,0,11,21,k,0,7,31,i,0,26,22,e,1,12,8,b,1,1,2,l,0,2,44,l,1,4,28,l,1,25,0,j,0,19,1,f,1
52968,6,2045,1,6,5,7,3,56,16,3,35,j,22,23,e,29,8,i,0,28,40,i,0,12,28,k,0,11,35,k,0,7,37,i,0,26,20,e,1,12,7,b,1,1,3,l,0,2,41,l,1,4,24,l,1,25,6,j,0,19,0,f,1
52969,7,2045,1,7,6,7,7,53,17,4,43,j,7,1,f,0,35,j,0,29,56,i,0,13,15,k,0,11,48,k,0,7,43,i,0,26,19,e,1,12,7,b,1,1,5,l,0,2,41,l,0,4,21,l,1,25,13,j,0,19,0,f,1
52970,8,2045,1,8,7,7,11,49,18,5,51,j,21,14,f,2,4,j,0,1,11,j,0,14,3,k,0,12,2,k,0,7,49,i,0,26,17,e,1,12,6,b,1,1,6,l,0,2,42,l,0,4,18,l,1,25,20,j,0,18,59,f,1
52971,9,2045,1,9,1,7,15,46,19,6,59,j,5,0,g,3,32,j,0,2,26,j,0,14,50,k,0,12,15,k,0,7,55,i,0,26,15,e,1,12,6,b,1,1,7,l,0,2,43,l,0,4,15,l,1,25,27,j,0,18,58,f,1
52972,10,2045,1,10,2,7,19,42,20,8,8,j,18,21,g,5,2,j,0,3,41,j,0,15,37,k,0,12,29,k,0,8,1,i,0,26,13,e,1,12,5,b,1,1,9,l,0,2,44,l,1,4,12,l,1,25,33,j,0,18,58,f,1
52973,11,2045,1,11,3,7,23,39,21,9,16,j,1,20,h,6,31,j,0,4,57,j,0,16,25,k,0,12,43,k,0,8,7,i,0,26,11,e,1,12,5,b,1,1,10,l,0,2,43,l,1,4,9,l,1,25,40,j,0,18,57,f,1
52974,12,2045,1,12,4,7,27,35,22,10,25,j,14,0,h,8,2,j,0,6,12,j,0,17,12,k,0,12,57,k,0,8,13,i,0,26,9,e,1,12,4,b,1,1,11,l,0,2,41,l,1,4,5,l,1,25,47,j,0,18,55,f,1
52975,13,2045,1,13,5,7,31,32,23,11,33,j,26,24,h,9,33,j,0,7,27,j,0,17,59,k,0,13,11,k,0,8,19,i,0,26,7,e,1,12,4,b,1,1,13,l,0,2,37,l,1,4,2,l,1,25,53,j,0,18,54,f,1
52976,14,2045,1,14,6,7,35,29,24,12,42,j,8,36,i,11,4,j,0,8,42,j,0,18,47,k,0,13,25,k,0,8,24,i,0,26,5,e,1,12,4,b,1,1,14,l,0,2,31,l,1,3,59,l,1,26,0,j,0,18,53,f,1
52977,15,2045,1,15,7,7,39,25,25,13,50,j,20,39,i,12,36,j,0,9,58,j,0,19,34,k,0,13,38,k,0,8,30,i,0,26,3,e,1,12,4,b,1,1,16,l,0,2,24,l,1,3,56,l,1,26,7,j,0,18,51,f,1
52978,16,2045,1,16,1,7,43,22,26,14,58,j,2,36,j,14,8,j,0,11,13,j,0,20,21,k,0,13,52,k,0,8,35,i,0,26,0,e,1,12,3,b,1,1,17,l,0,2,17,l,1,3,53,l,1,26,13,j,0,18,50,f,1
52979,17,2045,1,17,2,7,47,18,27,16,6,j,14,28,j,15,41,j,0,12,28,j,0,21,9,k,0,14,6,k,0,8,41,i,0,25,58,e,1,12,3,b,1,1,18,l,0,2,10,l,1,3,50,l,1,26,20,j,0,18,48,f,1
52980,18,2045,1,18,3,7,51,15,28,17,13,j,26,18,j,17,15,j,0,13,44,j,0,21,56,k,0,14,20,k,0,8,46,i,0,25,56,e,1,12,3,b,1,1,20,l,0,2,4,l,1,3,46,l,1,26,27,j,0,18,46,f,1
52981,19,2045,1,19,4,7,55,11,29,18,20,j,8,7,k,18,49,j,0,14,59,j,0,22,44,k,0,14,34,k,0,8,52,i,0,25,54,e,1,12,3,b,1,1,21,l,0,2,0,l,1,3,43,l,1,26,33,j,0,18,45,f,1
52982,20,2045,1,20,5,7,59,8,0,19,25,k,19,56,k,20,23,j,0,16,14,j,0,23,31,k,0,14,49,k,0,8,57,i,0,25,52,e,1,12,3,b,1,1,23,l,0,1,57,l,1,3,40,l,1,26,40,j,0,18,43,f,1
52983,21,2045,1,21,6,8,3,5,1,20,31,k,1,49,l,21,58,j,0,17,29,j,0,24,18,k,0,15,3,k,0,9,2,i,0,25,49,e,1,12,3,b,1,1,24,l,0,1,56,l,0,3,37,l,1,26,47,j,0,18,40,f,1
52984,22,2045,1,22,7,8,7,1,2,21,35,k,13,48,l,23,34,j,0,18,45,j,0,25,6,k,0,15,17,k,0,9,8,i,0,25,47,e,1,12,3,b,0,1,26,l,0,1,57,l,0,3,34,l,1,26,53,j,0,18,38,f,1
52985,23,2045,1,23,1,8,10,58,3,22,39,k,25,55,l,25,10,j,0,20,0,j,0,25,53,k,0,15,31,k,0,9,13,i,0,25,45,e,1,12,3,b,0,1,27,l,0,1,59,l,0,3,30,l,1,27,0,j,0,18,36,f,1
52986,24,2045,1,24,2,8,14,54,4,23,41,k,8,15,a,26,47,j,0,21,15,j,0,26,41,k,0,15,45,k,0,9,18,i,0,25,42,e,1,12,3,b,0,1,29,l,0,2,0,l,0,3,27,l,1,27,7,j,0,18,33,f,1
52987,25,2045,1,25,3,8,18,51,5,24,43,k,20,52,a,28,24,j,0,22,30,j,0,27,28,k,0,15,59,k,0,9,23,i,0,25,40,e,1,12,3,b,0,1,30,l,0,2,2,l,0,3,24,l,1,27,13,j,0,18,31,f,1
52988,26,2045,1,26,4,8,22,47,6,25,43,k,3,49,b,0,2,k,0,23,46,j,0,28,15,k,0,16,13,k,0,9,28,i,0,25,37,e,1,12,3,b,0,1,32,l,0,2,3,l,1,3,21,l,1,27,20,j,0,18,28,f,1
52989,27,2045,1,27,5,8,26,44,7,26,43,k,17,10,b,1,40,k,0,25,1,j,0,29,3,k,0,16,28,k,0,9,33,i,0,25,35,e,1,12,3,b,0,1,34,l,0,2,2,l,1,3,18,l,1,27,27,j,0,18,26,f,1
52990,28,2045,1,28,6,8,30,40,8,27,41,k,0,57,c,3,19,k,0,26,16,j,0,29,50,k,0,16,42,k,0,9,37,i,0,25,32,e,1,12,4,b,0,1,35,l,0,2,1,l,1,3,15,l,1,27,33,j,0,18,23,f,1
52991,29,2045,1,29,7,8,34,37,9,28,38,k,15,12,c,4,59,k,0,27,31,j,0,0,38,l,0,16,56,k,0,9,42,i,0,25,30,e,1,12,4,b,0,1,37,l,0,1,58,l,1,3,11,l,1,27,40,j,0,18,20,f,1
52992,30,2045,1,30,1,8,38,34,10,29,34,k,29,51,c,6,40,k,0,28,47,j,0,1,25,l,0,17,10,k,0,9,47,i,0,25,27,e,1,12,4,b,0,1,38,l,0,1,56,l,1,3,8,l,1,27,47,j,0,18,17,f,1
52993,31,2045,1,31,2,8,42,30,11,30,29,k,14,50,d,8,21,k,0,0,2,k,0,2,12,l,0,17,25,k,0,9,51,i,0,25,25,e,1,12,4,b,0,1,40,l,0,1,53,l,1,3,5,l,1,27,53,j,0,18,14,f,1
52994,32,2045,2,1,3,8,46,27,12,31,23,k,0,2,e,10,3,k,0,1,17,k,0,3,0,l,0,17,39,k,0,9,56,i,0,25,22,e,1,12,5,b,0,1,42,l,0,1,50,l,1,3,2,l,1,28,0,j,0,18,11,f,1
52995,33,2045,2,2,4,8,50,23,13,32,16,k,15,15,e,11,46,k,0,2,32,k,0,3,47,l,0,17,53,k,0,10,0,i,0,25,20,e,1,12,5,b,0,1,43,l,0,1,49,l,1,2,59,l,1,28,7,j,0,18,7,f,1
52996,34,2045,2,3,5,8,54,20,14,33,7,k,0,22,f,13,29,k,0,3,48,k,0,4,34,l,0,18,8,k,0,10,5,i,0,25,17,e,1,12,5,b,0,1,45,l,0,1,48,l,0,2,56,l,1,28,13,j,0,18,4,f,1
52997,35,2045,2,4,6,8,58,16,15,33,57,k,15,11,f,15,13,k,0,5,3,k,0,5,22,l,0,18,22,k,0,10,9,i,0,25,15,e,1,12,6,b,0,1,46,l,0,1,48,l,0,2,52,l,1,28,20,j,0,18,1,f,1
52998,36,2045,2,5,7,9,2,13,16,34,47,k,29,38,f,16,58,k,0,6,18,k,0,6,9,l,0,18,36,k,0,10,13,i,0,25,12,e,1,12,6,b,0,1,48,l,0,1,49,l,0,2,49,l,1,28,27,j,0,17,57,f,1
52999,37,2045,2,6,1,9,6,9,17,35,35,k,13,38,g,18,43,k,0,7,33,k,0,6,56,l,0,18,51,k,0,10,17,i,0,25,10,e,1,12,7,b,0,1,50,l,0,1,51,l,0,2,46,l,1,28,33,j,0,17,54,f,1
53000,38,2045,2,7,2,9,10,6,18,36,23,k,27,11,g,20,29,k,0,8,48,k,0,7,44,l,0,19,5,k,0,10,21,i,0,25,7,e,1,12,7,b,0,1,51,l,0,1,52,l,0,2,43,l,1,28,40,j,0,17,50,f,1
53001,39,2045,2,8,3,9,14,3,19,37,9,k,10,18,h,22,16,k,0,10,4,k,0,8,31,l,0,19,19,k,0,10,25,i,0,25,4,e,1,12,8,b,0,1,53,l,0,1,52,l,0,2,40,l,1,28,47,j,0,17,46,f,1
53002,40,2045,2,9,4,9,17,59,20,37,55,k,23,1,h,24,3,k,0,11,19,k,0,9,18,l,0,19,34,k,0,10,29,i,0,25,2,e,1,12,9,b,0,1,55,l,0,1,53,l,1,2,36,l,1,28,53,j,0,17,42,f,1
53003,41,2045,2,10,5,9,21,56,21,38,40,k,5,25,i,25,51,k,0,12,34,k,0,10,5,l,0,19,48,k,0,10,33,i,0,24,59,e,1,12,9,b,0,1,56,l,0,1,52,l,1,2,33,l,1,29,0,j,0,17,39,f,1
53004,42,2045,2,11,6,9,25,52,22,39,24,k,17,34,i,27,40,k,0,13,49,k,0,10,53,l,0,20,2,k,0,10,36,i,0,24,56,e,1,12,10,b,0,1,58,l,0,1,51,l,1,2,30,l,1,29,7,j,0,17,35,f,1
53005,43,2045,2,12,7,9,29,49,23,40,6,k,29,33,i,29,29,k,0,15,4,k,0,11,40,l,0,20,17,k,0,10,40,i,0,24,54,e,1,12,11,b,0,2,0,l,0,1,50,l,1,2,27,l,1,29,13,j,0,17,31,f,1
53006,44,2045,2,13,1,9,33,45,24,40,48,k,11,25,j,1,19,l,0,16,20,k,0,12,27,l,0,20,31,k,0,10,44,i,0,24,51,e,1,12,11,b,0,2,1,l,0,1,49,l,1,2,24,l,1,29,20,j,0,17,27,f,1
53007,45,2045,2,14,2,9,37,42,25,41,28,k,23,13,j,3,9,l,0,17,35,k,0,13,14,l,0,20,45,k,0,10,47,i,0,24,49,e,1,12,12,b,0,2,3,l,0,1,48,l,1,2,21,l,1,29,27,j,0,17,22,f,1
53008,46,2045,2,15,3,9,41,38,26,42,7,k,5,1,k,4,59,l,0,18,50,k,0,14,2,l,0,20,59,k,0,10,50,i,0,24,46,e,1,12,13,b,0,2,5,l,0,1,47,l,1,2,17,l,1,29,33,j,0,17,18,f,1
53009,47,2045,2,16,4,9,45,35,27,42,45,k,16,52,k,6,49,l,0,20,5,k,0,14,49,l,0,21,14,k,0,10,54,i,0,24,43,e,1,12,14,b,0,2,6,l,0,1,47,l,1,2,14,l,1,29,40,j,0,17,14,f,1
53010,48,2045,2,17,5,9,49,32,28,43,21,k,28,47,k,8,39,l,0,21,20,k,0,15,36,l,0,21,28,k,0,10,57,i,0,24,41,e,1,12,15,b,0,2,8,l,0,1,47,l,0,2,11,l,1,29,47,j,0,17,10,f,1
53011,49,2045,2,18,6,9,53,28,29,43,55,k,10,49,l,10,29,l,0,22,35,k,0,16,23,l,0,21,42,k,0,11,0,i,0,24,38,e,1,12,16,b,0,2,10,l,0,1,47,l,0,2,8,l,1,29,53,j,0,17,5,f,1
53012,50,2045,2,19,7,9,57,25,0,44,28,l,23,0,l,12,18,l,0,23,50,k,0,17,10,l,0,21,57,k,0,11,3,i,0,24,35,e,1,12,17,b,0,2,12,l,0,1,47,l,0,2,5,l,1,0,0,k,0,17,1,f,1
53013,51,2045,2,20,1,10,1,21,1,45,0,l,5,20,a,14,6,l,0,25,6,k,0,17,57,l,0,22,11,k,0,11,6,i,0,24,33,e,1,12,18,b,0,2,13,l,0,1,47,l,1,2,2,l,1,0,7,k,0,16,57,f,1
53014,52,2045,2,21,2,10,5,18,2,45,29,l,17,53,a,15,53,l,0,26,21,k,0,18,44,l,0,22,25,k,0,11,8,i,0,24,30,e,1,12,19,b,0,2,15,l,0,1,47,l,1,1,58,l,1,0,13,k,0,16,52,f,1
53015,53,2045,2,22,3,10,9,14,3,45,57,l,0,40,b,17,39,l,0,27,36,k,0,19,31,l,0,22,39,k,0,11,11,i,0,24,28,e,1,12,20,b,0,2,17,l,0,1,47,l,1,1,55,l,1,0,20,k,0,16,48,f,1
53016,54,2045,2,23,4,10,13,11,4,46,23,l,13,42,b,19,22,l,0,28,51,k,0,20,18,l,0,22,53,k,0,11,14,i,0,24,25,e,1,12,21,b,0,2,18,l,0,1,47,l,1,1,52,l,1,0,27,k,0,16,43,f,1
53017,55,2045,2,24,5,10,17,7,5,46,47,l,27,3,b,21,3,l,0,0,6,l,0,21,5,l,0,23,8,k,0,11,16,i,0,24,22,e,1,12,22,b,0,2,20,l,0,1,46,l,1,1,49,l,1,0,33,k,0,16,38,f,1
53018,56,2045,2,25,6,10,21,4,6,47,10,l,10,43,c,22,41,l,0,1,21,l,0,21,52,l,0,23,22,k,0,11,19,i,0,24,20,e,1,12,23,b,0,2,22,l,0,1,46,l,0,1,46,l,1,0,40,k,0,16,34,f,1
