1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
5479,365,1914,12,31,4,6,34,18,8,28,30,j,21,16,c,5,9,j,0,0,1,i,0,6,42,j,0,22,10,k,0,28,4,c,1,9,48,k,0,29,37,d,1,1,3,d,1,27,37,k,1,29,8,k,1,14,29,b,0,14,54,l,0
5480,1,1915,1,1,5,6,38,15,9,29,39,j,3,36,d,6,45,j,0,0,29,i,0,7,27,j,0,22,22,k,0,27,59,c,1,9,52,k,0,29,36,d,1,1,2,d,1,27,28,k,1,29,5,k,1,14,36,b,0,14,56,l,0
5481,2,1915,1,2,6,6,42,12,10,30,47,j,16,7,d,8,21,j,0,0,58,i,0,8,13,j,0,22,35,k,0,27,54,c,1,9,55,k,0,29,34,d,1,1,1,d,1,27,20,k,1,29,1,k,1,14,43,b,0,14,58,l,0
5482,3,1915,1,3,7,6,46,8,11,31,56,j,28,50,d,9,57,j,0,1,29,i,0,8,59,j,0,22,47,k,0,27,50,c,1,9,58,k,0,29,32,d,1,0,59,d,1,27,14,k,1,28,58,k,1,14,50,b,0,15,0,l,0
5483,4,1915,1,4,1,6,50,5,12,33,4,j,11,43,e,11,33,j,0,2,2,i,0,9,45,j,0,23,0,k,0,27,45,c,1,10,1,k,0,29,31,d,1,0,58,d,1,27,11,k,1,28,55,k,1,14,56,b,0,15,2,l,0
5484,5,1915,1,5,2,6,54,1,13,34,13,j,24,47,e,13,10,j,0,2,36,i,0,10,30,j,0,23,13,k,0,27,40,c,1,10,4,k,0,29,29,d,1,0,57,d,1,27,9,k,0,28,52,k,1,15,3,b,0,15,5,l,0
5485,6,1915,1,6,3,6,57,58,14,35,22,j,8,3,f,14,47,j,0,3,11,i,0,11,16,j,0,23,25,k,0,27,36,c,1,10,7,k,0,29,28,d,1,0,56,d,1,27,10,k,0,28,49,k,1,15,10,b,0,15,7,l,0
5486,7,1915,1,7,4,7,1,54,15,36,30,j,21,32,f,16,25,j,0,3,48,i,0,12,2,j,0,23,38,k,0,27,31,c,1,10,11,k,0,29,26,d,1,0,55,d,1,27,11,k,0,28,46,k,1,15,17,b,0,15,9,l,0
5487,8,1915,1,8,5,7,5,51,16,37,39,j,5,14,g,18,3,j,0,4,26,i,0,12,48,j,0,23,51,k,0,27,26,c,1,10,14,k,0,29,24,d,1,0,54,d,1,27,13,k,0,28,42,k,1,15,23,b,0,15,11,l,0
5488,9,1915,1,9,6,7,9,47,17,38,48,j,19,10,g,19,42,j,0,5,5,i,0,13,34,j,0,24,4,k,0,27,22,c,1,10,17,k,0,29,23,d,1,0,52,d,1,27,13,k,1,28,39,k,1,15,30,b,0,15,13,l,0
