1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
52596,365,2043,12,31,4,6,37,17,9,10,15,j,4,41,j,18,30,i,0,14,57,k,0,25,28,f,0,13,45,j,0,26,30,h,0,21,40,e,1,9,55,b,1,29,34,k,0,23,18,l,1,24,6,l,1,13,31,i,0,2,20,f,1
52597,1,2044,1,1,5,6,41,14,10,11,26,j,16,43,j,18,53,i,0,16,10,k,0,25,46,f,0,13,59,j,0,26,36,h,0,21,38,e,1,9,54,b,1,29,35,k,0,23,4,l,1,24,3,l,1,13,37,i,0,2,18,f,1
52598,2,2044,1,2,6,6,45,10,11,12,36,j,28,51,j,19,24,i,0,17,23,k,0,26,4,f,0,14,13,j,0,26,42,h,0,21,37,e,1,9,53,b,1,29,36,k,0,22,51,l,1,24,0,l,1,13,44,i,0,2,16,f,1
52599,3,2044,1,3,7,6,49,7,12,13,47,j,11,5,k,20,1,i,0,18,36,k,0,26,22,f,0,14,27,j,0,26,48,h,0,21,35,e,1,9,53,b,1,29,37,k,0,22,42,l,1,23,57,l,1,13,51,i,0,2,15,f,1
52600,4,2044,1,4,1,6,53,3,13,14,58,j,23,29,k,20,43,i,0,19,50,k,0,26,39,f,0,14,41,j,0,26,54,h,0,21,33,e,1,9,52,b,1,29,39,k,0,22,35,l,1,23,54,l,1,13,57,i,0,2,13,f,1
52601,5,2044,1,5,2,6,57,0,14,16,8,j,6,2,l,21,30,i,0,21,3,k,0,26,55,f,0,14,55,j,0,26,59,h,0,21,31,e,1,9,52,b,1,29,40,k,0,22,31,l,1,23,50,l,1,14,4,i,0,2,10,f,1
52602,6,2044,1,6,3,7,0,57,15,17,19,j,18,49,l,22,22,i,0,22,16,k,0,27,11,f,0,15,9,j,0,27,5,h,0,21,29,e,1,9,51,b,1,29,41,k,0,22,30,l,0,23,47,l,1,14,11,i,0,2,8,f,1
52603,7,2044,1,7,4,7,4,53,16,18,29,j,1,52,a,23,18,i,0,23,28,k,0,27,27,f,0,15,23,j,0,27,10,h,0,21,27,e,1,9,51,b,1,29,42,k,0,22,30,l,0,23,44,l,1,14,18,i,0,2,6,f,1
52604,8,2044,1,8,5,7,8,50,17,19,38,j,15,13,a,24,18,i,0,24,41,k,0,27,42,f,0,15,37,j,0,27,16,h,0,21,25,e,1,9,50,b,1,29,44,k,0,22,31,l,1,23,41,l,1,14,24,i,0,2,4,f,1
52605,9,2044,1,9,6,7,12,46,18,20,47,j,28,56,a,25,20,i,0,25,54,k,0,27,56,f,0,15,51,j,0,27,21,h,0,21,23,e,1,9,50,b,1,29,45,k,0,22,30,l,1,23,38,l,1,14,31,i,0,2,1,f,1
