1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
17532,365,1947,12,31,3,6,34,19,8,27,33,j,22,45,e,6,23,j,0,7,41,k,0,7,9,f,0,14,55,i,0,22,2,e,1,23,33,c,1,12,56,g,0,14,32,e,1,22,24,b,1,20,52,b,1,7,14,k,0,20,46,h,0
17533,1,1948,1,1,4,6,38,15,9,28,42,j,7,26,f,7,59,j,0,8,55,k,0,7,15,f,0,15,8,i,0,21,59,e,1,23,30,c,1,12,56,g,0,14,31,e,1,22,18,b,1,20,49,b,1,7,21,k,0,20,52,h,0
17534,2,1948,1,2,5,6,42,12,10,29,51,j,21,45,f,9,35,j,0,10,10,k,0,7,20,f,0,15,21,i,0,21,56,e,1,23,28,c,1,12,57,g,0,14,29,e,1,22,15,b,1,20,46,b,1,7,28,k,0,20,59,h,0
17535,3,1948,1,3,6,6,46,9,11,31,0,j,5,39,g,11,11,j,0,11,24,k,0,7,25,f,0,15,34,i,0,21,53,e,1,23,25,c,1,12,57,g,0,14,28,e,1,22,13,b,0,20,43,b,1,7,35,k,0,21,5,h,0
17536,4,1948,1,4,7,6,50,5,12,32,10,j,19,8,g,12,48,j,0,12,38,k,0,7,29,f,0,15,47,i,0,21,50,e,1,23,23,c,1,12,57,g,0,14,27,e,1,22,13,b,0,20,40,b,1,7,41,k,0,21,11,h,0
17537,5,1948,1,5,1,6,54,2,13,33,20,j,2,15,h,14,25,j,0,13,52,k,0,7,32,f,0,15,59,i,0,21,47,e,1,23,21,c,1,12,58,g,0,14,26,e,1,22,14,b,0,20,36,b,1,7,48,k,0,21,18,h,0
17538,6,1948,1,6,2,6,57,58,14,34,30,j,15,3,h,16,3,j,0,15,6,k,0,7,34,f,0,16,12,i,0,21,44,e,1,23,18,c,1,12,58,g,0,14,25,e,1,22,15,b,0,20,33,b,1,7,55,k,0,21,24,h,0
17539,7,1948,1,7,3,7,1,55,15,35,41,j,27,35,h,17,41,j,0,16,20,k,0,7,36,f,0,16,25,i,0,21,40,e,1,23,16,c,1,12,58,g,0,14,24,e,1,22,15,b,1,20,30,b,1,8,1,k,0,21,30,h,0
17540,8,1948,1,8,4,7,5,51,16,36,51,j,9,55,i,19,19,j,0,17,34,k,0,7,36,f,0,16,37,i,0,21,37,e,1,23,14,c,1,12,59,g,0,14,22,e,1,22,13,b,1,20,27,b,1,8,8,k,0,21,36,h,0
17541,9,1948,1,9,5,7,9,48,17,38,2,j,22,6,i,20,58,j,0,18,48,k,0,7,37,f,1,16,50,i,0,21,33,e,1,23,11,c,1,12,59,g,0,14,21,e,1,22,9,b,1,20,24,b,1,8,15,k,0,21,42,h,0
17542,10,1948,1,10,6,7,13,44,18,39,12,j,4,10,j,22,37,j,0,20,2,k,0,7,36,f,1,17,2,i,0,21,29,e,1,23,9,c,1,12,59,g,0,14,20,e,1,22,2,b,1,20,21,b,1,8,22,k,0,21,47,h,0
